day_of_water_year,observed_max_thirty_d_trailing_sum_uklni_taf,observed_min_thirty_d_trailing_sum_uklni_taf
1,56.4,22.7
2,56.8,22.8
3,56.8,23.3
4,57.3,24.1
5,58.2,25.1
6,57.8,25.3
7,58.5,25.7
8,60.4,25.9
9,61.5,26.4
10,62.2,26.9
11,63.4,27.3
12,64.6,28.1
13,65.4,28.8
14,66.2,29.4
15,68.1,30.2
16,69.7,31.8
17,70.6,33
18,71.5,33.8
19,71.8,34.3
20,71.8,34.7
21,72,35.2
22,72.2,35.6
23,72,35.8
24,72,36.5
25,72.2,37.4
26,72.1,38
27,72.1,38.2
28,74.6,39.3
29,76.3,40.3
30,77.4,41.3
31,79.3,42.2
32,81.9,42.9
33,84.6,43.2
34,87.3,43.8
35,89.4,45
36,91.2,46.4
37,92.9,47.4
38,94.1,48.9
39,95,50.9
40,96,52.6
41,96.8,53
42,97.8,53
43,98.6,52.9
44,99.1,53.3
45,100.2,53.3
46,99.8,53.2
47,99.6,53.8
48,99.1,56
49,98.8,58.7
50,99,60.6
51,99.9,61.8
52,101.4,61.9
53,102.3,62.1
54,105.7,62.1
55,111.6,62.6
56,117.4,63.7
57,122.9,64.7
58,126.1,65
59,131.3,64.4
60,137.2,63.9
61,141.9,63
62,146,63.3
63,150,63.5
64,154.4,63.8
65,158.8,64.4
66,164.5,65.6
67,169.5,66.5
68,173.5,66.6
69,178,66.6
70,181.5,66.8
71,184.4,67.7
72,187,67.8
73,189.2,68.2
74,191.1,68.3
75,192.8,68.3
76,194.3,68.2
77,196.1,68.1
78,198,68.2
79,199.5,68.4
80,200.8,68.6
81,202.2,69
82,203.3,69.3
83,204.9,67.9
84,204.1,66.4
85,200.3,66.3
86,196.6,66.4
87,191.9,67.2
88,189.5,68
89,189.9,68.9
90,191.5,69.6
91,193,70.3
92,194.6,70.9
93,198.8,71.4
94,203.5,71.8
95,213.1,73.2
96,224,72.3
97,237.3,72.1
98,250.5,72.3
99,264.6,72.6
100,279.6,72.3
101,294,72.3
102,306.7,72.4
103,318.1,72.4
104,328,72.9
105,336.9,73.3
106,344.4,74.2
107,350.2,75
108,355.5,75.5
109,359.7,76.4
110,362.8,77
111,366.8,77.7
112,370.9,78.2
113,374.5,78.6
114,378,79
115,381.6,79.3
116,385.1,79.7
117,388.3,79.9
118,391,80.2
119,393.8,80.1
120,396.2,80.1
121,397.7,80.1
122,400.2,80.1
123,400.4,80.1
124,398.9,80.7
125,393.7,81.1
126,387.8,81.8
127,380,82.3
128,370.4,82.7
129,359.9,82.5
130,348.9,81.2
131,337.5,79.8
132,326.6,78.3
133,316.8,76.9
134,307.6,75.5
135,299.4,74.1
136,291.6,72.9
137,285.8,71.7
138,280.3,70.8
139,276,69.8
140,272.9,69
141,269.4,68.1
142,266.8,67.4
143,264.1,66.8
144,261.9,66.1
145,262.2,65.7
146,267.9,65.4
147,274,65.6
148,278.4,65.7
149,284.5,65.2
150,291.1,64.8
151,297.5,64.4
152,302.9,64.2
153,306.9,63.9
154,311,63.6
155,315.4,63.4
156,319.4,63.7
157,323.2,64.3
158,326.8,64.7
159,330.3,64.7
160,333.2,64.7
161,336.2,64.5
162,339.1,64.5
163,341.6,64.3
164,342.2,64
165,340.9,63.8
166,339.1,63.6
167,336.4,63.4
168,331.8,63.5
169,326.4,63.7
170,320.9,63.8
171,315.5,64.1
172,310.5,64.4
173,306.4,64.4
174,301.6,64.3
175,297.4,64.2
176,291.7,64.2
177,286,63.9
178,280.6,63.5
179,274.3,63.5
180,267.4,63.5
181,261,63.7
182,264.4,64
183,269,64
184,273.4,64.1
185,277.8,64
186,282.3,63.4
187,286.6,62.5
188,293.6,62.1
189,303.3,62.7
190,312.3,63.3
191,320.7,62.9
192,328.1,62.7
193,335.6,62
194,343.3,60.8
195,350.4,60
196,356.8,59.3
197,362,58.9
198,366.1,57.4
199,369.5,56.2
200,370.7,55.5
201,370.5,55.3
202,370.5,54.6
203,369,53.9
204,366.2,53.6
205,362.3,53.1
206,357.1,52.2
207,350.1,51.6
208,343.8,50.5
209,337.2,49.6
210,330.8,49.3
211,323.5,49.2
212,316,48.8
213,308.6,48.8
214,301.8,49
215,295,49.2
216,288.5,49.3
217,288.2,49.3
218,289.6,49.2
219,290.7,49.2
220,291.7,49.2
221,292.2,49.3
222,293.4,49.1
223,294,49
224,293.8,49
225,294.2,48.2
226,293.1,46.9
227,291.1,44.9
228,289,43.2
229,287.8,42.5
230,285.5,41.4
231,283,40.7
232,280.7,40
233,277.7,39.7
234,275,40
235,271.9,40.5
236,267.9,41.3
237,263.6,40.6
238,261.5,38.8
239,260.3,37.1
240,258.8,35.5
241,257.7,34.1
242,255.9,32.6
243,253.8,31.2
244,251.5,30.1
245,249.1,27.8
246,247.1,25.8
247,249.3,23.9
248,251.3,22.6
249,252.3,20.9
250,252.7,19.1
251,252.4,17.1
252,251.7,15.8
253,250.2,13.4
254,249.5,11.8
255,249.2,10.1
256,248.2,8
257,245.8,6
258,243.4,4.6
259,240.4,2.8
260,237.1,1.6
261,233.8,0.5
262,230.3,-0.6
263,227,-1.2
264,223.6,-2.5
265,219.8,-3
266,215.8,-3.1
267,212.2,-3
268,208.5,-3.1
269,203.6,-3.8
270,199.5,-4.4
271,195.6,-4.8
272,191.2,-5.2
