month_day_index,avg_l1_hist_minus_l1_taf
8-9,0.058929635
8-10,0.057024471
8-11,0.04931118
8-12,0.05838335
8-13,0.059688546
8-14,0.063447681
8-15,0.057739212
8-16,0.053661725
8-17,0.053209591
8-18,0.041304259
8-19,0.045514822
8-20,0.050848605
8-21,0.04898833
8-22,0.05136235
8-23,0.044119115
8-24,0.052196622
8-25,0.047078949
8-26,0.044380061
8-27,0.039941875
8-28,0.040624236
8-29,0.037163019
8-30,0.044359009
8-31,0.036887051
9-1,0.035047015
9-2,0.027367858
9-3,0.029856266
9-4,0.031895636
9-5,0.03039
9-6,0.03368755
9-7,0.030678289
9-8,0.036978595
9-9,0.031740826
9-10,0.02852591
9-11,0.019377842
9-12,0.029475509
9-13,0.02448169
9-14,0.02320281
9-15,0.026428581
9-16,0.025536486
9-17,0.020868685
9-18,0.028052801
9-19,0.031399973
9-20,0.030516015
9-21,0.035262747
9-22,0.037300341
9-23,0.037554707
9-24,0.036626765
9-25,0.024900443
9-26,0.022279894
9-27,0.017472443
9-28,0.027181371
9-29,0.02437815
9-30,0.045443351
