date,month,day,year,day_of_water_year,leap_year_index,period,normalized_30_d_trailing_sum_UKLNI,weight_for_30_d_trailing_sum_UKLNI,normalized_30_trailing_sum_precipitation,weight_for_30_d_trailing_sum_precip,normalized_trailing_sum_31_1095_d_precip_in,weight_for_tot_31_1095_d_trailing_sum_precip,normalized_weighted_avg_swe,weight_for_normalized_weighted_avg_swe,normalized_3mta_normalized_PDO_lag_0,normalized_3mta_normalized_PDO_CN34_lag_0,climate_index_used,climate_index_lag_0,weight_for_climate_index,wetness_index_v20,normalized_wetness_index_v20,trailing_2_week_mean_nwi_v20,ukl_net_inflow_smoothed
2024-09-15,9,15,2024,351,1,24,0.4180328377451832,0.0037158379999999713,0.5228671731793438,0.055926305000000065,0.28770708787794547,0.8596728428,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.45399127799999994,0.2787582236826892,0.06276242244175732,NA,1.0970640843502415
2024-09-16,9,16,2024,352,1,24,0.4257055540965945,0.0074316259999998024,0.4384988619616535,0.052197887000000165,0.295284061157194,0.8596618906,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.4577318830000001,0.28053091663391844,0.06253141934341304,NA,1.4018811938159303
2024-09-17,9,17,2024,353,1,24,0.43666526603080064,0.011147413999999856,0.479921567390476,0.04846946900000004,0.303507617731363,0.8596509384000001,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.46147248800000007,0.28967908586976976,0.06972496027387792,NA,1.3739649327170769
2024-09-18,9,18,2024,354,1,24,0.45416065262743,0.014863201999999909,0.4357967349600807,0.04474105100000014,0.30115063801079384,0.8596399862,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.465213093,0.2857738428086996,0.06074577521209309,NA,1.0457425322776492
2024-09-19,9,19,2024,355,1,24,0.45566968034959254,0.018578989999999962,0.4366923551433209,0.04101263300000024,0.3009501773252707,0.859629034,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.468953698,0.2857309045837302,0.05861005541495449,NA,1.3106126857832103
2024-09-20,9,20,2024,356,1,24,0.4623973936883013,0.022294777999999793,0.43108787765112017,0.03728421500000012,0.29764347808726743,0.8596180818,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.4726943029999999,0.2828963262830347,0.049225412418329596,NA,1.3736357947468485
2024-09-21,9,21,2024,357,1,24,0.4693097721444188,0.026010565999999846,0.4969895563642592,0.03355579700000022,0.2977802963441901,0.8596071296000001,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.4764349080000001,0.28551793109175155,0.04477153404501189,NA,1.5468556608059965
2024-09-22,9,22,2024,358,1,24,0.4759058475988456,0.0297263539999999,0.49371196522758243,0.029827379000000098,0.29963188951586206,0.8595961774,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.48017551300000005,0.287100659885162,0.04326892074528467,NA,1.6810135458826645
2024-09-23,9,23,2024,359,1,24,0.4922206543823986,0.03344214199999995,0.4076169836761251,0.026098961000000198,0.29909678388539107,0.8595852252,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.483916118,0.2848688041394444,0.039865440143019876,NA,1.3874029490492
2024-09-24,9,24,2024,360,1,24,0.4909598771946815,0.037157930000000006,0.25883071463325175,0.022370543000000076,0.30117240711564774,0.859574273,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.48765672299999996,0.2835888059002784,0.0374118669736998,NA,1.3141640159892127
2024-09-25,9,25,2024,361,1,24,0.482649413857868,0.04087371799999984,0.21669139666032197,0.018642125000000176,0.30708448470061256,0.8595633208,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.49139732800000013,0.28840652179594456,0.04016974698873044,NA,1.4464164089552134
2024-09-26,9,26,2024,362,1,24,0.4744000560953526,0.04458950599999989,0.21358839056578932,0.014913707000000054,0.3085875747720233,0.8595523686000001,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.4951379330000001,0.2902717194591754,0.039950884495600615,NA,1.4109127621924171
2024-09-27,9,27,2024,363,1,24,0.4644827053285932,0.04830529399999994,0.21435412728383624,0.011185289000000154,0.3021444802466439,0.8595414164,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.49887853800000004,0.2852313424271753,0.033634961970825196,NA,1.3418378122998451
2024-09-28,9,28,2024,364,1,24,0.4405968686756447,0.052021081999999996,0.21363664334951443,0.0074568710000000316,0.3056636489656863,0.8595304642,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.502619143,0.2879368478244173,0.03410738474815809,0.04834148465819686,1.4099198961693509
2024-09-29,9,29,2024,365,1,24,0.4208423343844081,0.05573686999999983,0.2063251220346928,0.0037284530000001315,0.3076472559196243,0.859519512,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.5063597479999999,0.28935595189122437,0.03439034223345783,0.04631490750046118,1.3307656991916397
2024-09-30,9,30,2024,366,1,24,0.4208423343844081,0.05945265799999988,0.2063251220346928,3.5000000231377726e-8,0.3076472559196243,0.8595085598000001,NA,0,0,0.00138522980058041,3 mta PDO_CN34,0.00138522980058041,0.5101003530000001,0.29015225867161765,0.03439034223345783,0.044304830564035814,1.5439032880266004
