date,month,day,year,day_of_water_year,leap_year_index,period,normalized_30_d_trailing_sum_UKLNI,weight_for_30_d_trailing_sum_UKLNI,normalized_30_trailing_sum_precipitation,weight_for_30_d_trailing_sum_precip,normalized_trailing_sum_31_1095_d_precip_in,weight_for_tot_31_1095_d_trailing_sum_precip,normalized_average_swe,weight_for_normalized_weighted_avg_swe,three_mta_normalized_PDO_lag_0,three_mta_normalized_PDO_CN34_lag_0,climate_index_used,climate_index_lag_0,weight_for_climate_index,wetness_index_v20,normalized_wetness_index_v20,trailing_2_week_mean_nwi_v20,ukl_net_inflow_smoothed
2024-09-15,9,15,2024,351,1,24,0.4184790650145222,0.0037158379999999713,0.5034867132287332,0.055926305000000065,0.27273731015946834,0.8596728428,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.45399127799999994,0.3115927805351869,0.09613087452762896,NA,1.0970640843502415
2024-09-16,9,16,2024,352,1,24,0.4257039004442743,0.0074316259999998024,0.49985703826544886,0.052197887000000165,0.2804395089443858,0.8596618906,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.4577318830000001,0.31814374983938537,0.1007558433327087,NA,1.4018811938159303
2024-09-17,9,17,2024,353,1,24,0.43739714001208946,0.011147413999999856,0.47562159672617527,0.04846946900000004,0.28863643103311704,0.8596509384000001,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.46147248800000007,0.324251658175001,0.10482401845177768,NA,1.3739649327170769
2024-09-18,9,18,2024,354,1,24,0.4537636113579285,0.014863201999999909,0.46770791356244734,0.04474105100000014,0.29279348655628984,0.8596399862,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.465213093,0.3279538868465699,0.1036116736245629,NA,1.0457425322776492
2024-09-19,9,19,2024,355,1,24,0.4558248872081751,0.018578989999999962,0.4291230606243484,0.04101263300000024,0.2933131858849173,0.859629034,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.468953698,0.3271862056679695,0.10069665550047666,NA,1.3106126857832103
2024-09-20,9,20,2024,356,1,24,0.46208512816502834,0.022294777999999793,0.42304038349615686,0.03728421500000012,0.28378374913535076,0.8596180818,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.4726943029999999,0.3193885665807103,0.08673028425561183,NA,1.3736357947468485
2024-09-21,9,21,2024,357,1,24,0.4688776758991091,0.026010565999999846,0.48729700539667303,0.03355579700000022,0.2827260214791247,0.8596071296000001,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.4764349080000001,0.3213394955887041,0.08162499546162975,NA,1.5468556608059965
2024-09-22,9,22,2024,358,1,24,0.4756681297494053,0.0297263539999999,0.4282784148016368,0.029827379000000098,0.28455335068860554,0.8595961774,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.48017551300000005,0.3216647211342832,0.07879210805167851,NA,1.6810135458826645
2024-09-23,9,23,2024,359,1,24,0.49299090062741535,0.03344214199999995,0.22606479039764055,0.026098961000000198,0.28403294592816986,0.8595852252,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.483916118,0.31707736658380925,0.07289986316288127,NA,1.3874029490492
2024-09-24,9,24,2024,360,1,24,0.49118576709119344,0.037157930000000006,0.20062157791443008,0.022370543000000076,0.2861018264870461,0.859574273,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.48765672299999996,0.3195960125686142,0.07422905170614948,NA,1.3141640159892127
2024-09-25,9,25,2024,361,1,24,0.4827589134846269,0.04087371799999984,0.1986649789011644,0.018642125000000176,0.29299943030183545,0.8595633208,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.49139732800000013,0.3266087035739476,0.0791118283118732,NA,1.4464164089552134
2024-09-26,9,26,2024,362,1,24,0.4749293430082981,0.04458950599999989,0.1983745330255779,0.014913707000000054,0.29386354580208646,0.8595523686000001,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.4951379330000001,0.32843859063409986,0.07877781346297036,NA,1.4109127621924171
2024-09-27,9,27,2024,363,1,24,0.4652735211624384,0.04830529399999994,0.1991550836263319,0.011185289000000154,0.29439223509531287,0.8595414164,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.49887853800000004,0.3298478876042386,0.07879340850631437,NA,1.3418378122998451
2024-09-28,9,28,2024,364,1,24,0.44060253860794746,0.052021081999999996,0.198575020275964,0.0074568710000000316,0.29831113692217825,0.8595304642,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.502619143,0.3333023347056402,0.07970083890014089,0.08690566123260032,1.4099198961693509
2024-09-29,9,29,2024,365,1,24,0.4212531869726901,0.05573686999999983,0.19177896941794928,0.0037284530000001315,0.29347085011728286,0.859519512,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.5063597479999999,0.329322418616449,0.07439681543188088,0.08535322844004689,1.3307656991916397
2024-09-30,9,30,2024,366,1,24,0.4212531869726901,0.05945265799999988,0.19177896941794928,3.5000000231377726e-8,0.29347085011728286,0.8595085598000001,0,0,0,0.104439825545081,3 mta PDO_CN34,0.104439825545081,0.5101003530000001,0.330560127974153,0.07439681543188088,0.0834704407328449,1.5439032880266004
2024-10-01,10,1,2024,1,1,1,0.41535520957381655,0.059452606,0.143645085025978,0,0.24282204985478628,0.859508548,0,0,0,0.111606162202635,3 mta PDO_CN34,0.111606162202635,0.510100373,0.2903319220865731,0.042247427232108885,0.07900068421715427,1.4281568026320424
