"index","Year","month","N34","normalized_CN34"
"1979-01",1979,1,-0.13,0.622119815668203
"1979-02",1979,2,-0.22,0.631043256997455
"1979-03",1979,3,-0.02,0.579505300353357
"1979-04",1979,4,0.02,0.510822510822511
"1979-05",1979,5,-0.25,0.589041095890411
"1979-06",1979,6,-0.29,0.620253164556962
"1979-07",1979,7,-0.47,0.743589743589744
"1979-08",1979,8,-0.1,0.61144578313253
"1979-09",1979,9,0.28,0.506561679790026
"1979-10",1979,10,0.11,0.555555555555556
"1979-11",1979,11,0.29,0.557339449541284
"1979-12",1979,12,0.52,0.486363636363636
"1980-01",1980,1,0.54,0.467741935483871
"1980-02",1980,2,0.22,0.519083969465649
"1980-03",1980,3,0.03,0.561837455830389
"1980-04",1980,4,-0.07,0.54978354978355
"1980-05",1980,5,0.08,0.438356164383562
"1980-06",1980,6,0.21,0.409282700421941
"1980-07",1980,7,-0.06,0.593406593406594
"1980-08",1980,8,-0.38,0.69578313253012
"1980-09",1980,9,-0.28,0.653543307086614
"1980-10",1980,10,-0.26,0.646913580246914
"1980-11",1980,11,-0.1,0.646788990825688
"1980-12",1980,12,0.05,0.593181818181818
"1981-01",1981,1,-0.36,0.675115207373272
"1981-02",1981,2,-0.64,0.737913486005089
"1981-03",1981,3,-0.64,0.798586572438163
"1981-04",1981,4,-0.53,0.748917748917749
"1981-05",1981,5,-0.57,0.735159817351598
"1981-06",1981,6,-0.46,0.691983122362869
"1981-07",1981,7,-0.64,0.805860805860806
"1981-08",1981,8,-0.53,0.740963855421687
"1981-09",1981,9,-0.19,0.62992125984252
"1981-10",1981,10,-0.3,0.65679012345679
"1981-11",1981,11,-0.41,0.717889908256881
"1981-12",1981,12,-0.2,0.65
"1982-01",1982,1,0.13,0.56221198156682
"1982-02",1982,2,-0.17,0.618320610687023
"1982-03",1982,3,0.13,0.526501766784452
"1982-04",1982,4,0.21,0.428571428571429
"1982-05",1982,5,0.45,0.269406392694064
"1982-06",1982,6,0.53,0.274261603375528
"1982-07",1982,7,0.37,0.435897435897436
"1982-08",1982,8,0.73,0.36144578313253
"1982-09",1982,9,1.49,0.188976377952756
"1982-10",1982,10,1.99,0.091358024691358
"1982-11",1982,11,1.92,0.18348623853211
"1982-12",1982,12,2.2,0.104545454545454
