"index","Year","month","N34","normalized_CN34"
"1983-01",1983,1,2.35,0.0506912442396312
"1983-02",1983,2,1.94,0.0814249363867684
"1983-03",1983,3,1.38,0.0848056537102474
"1983-04",1983,4,0.95,0.108225108225108
"1983-05",1983,5,0.9,0.0639269406392695
"1983-06",1983,6,0.54,0.270042194092827
"1983-07",1983,7,-0.11,0.611721611721612
"1983-08",1983,8,-0.27,0.662650602409639
"1983-09",1983,9,-0.52,0.716535433070866
"1983-10",1983,10,-1.16,0.869135802469136
"1983-11",1983,11,-1.29,0.919724770642202
"1983-12",1983,12,-1.03,0.838636363636364
"1984-01",1984,1,-0.67,0.746543778801843
"1984-02",1984,2,-0.19,0.623409669211196
"1984-03",1984,3,-0.52,0.756183745583039
"1984-04",1984,4,-0.68,0.813852813852814
"1984-05",1984,5,-0.73,0.808219178082192
"1984-06",1984,6,-0.9,0.877637130801688
"1984-07",1984,7,-0.5,0.754578754578755
"1984-08",1984,8,-0.24,0.653614457831325
"1984-09",1984,9,-0.34,0.669291338582677
"1984-10",1984,10,-0.67,0.748148148148148
"1984-11",1984,11,-1.19,0.896788990825688
"1984-12",1984,12,-1.34,0.909090909090909
"1985-01",1985,1,-1.16,0.859447004608295
"1985-02",1985,2,-0.72,0.758269720101781
"1985-03",1985,3,-0.79,0.851590106007067
"1985-04",1985,4,-1.18,1
"1985-05",1985,5,-1.03,0.945205479452055
"1985-06",1985,6,-0.91,0.881856540084388
"1985-07",1985,7,-0.74,0.842490842490842
"1985-08",1985,8,-0.56,0.75
"1985-09",1985,9,-0.7,0.763779527559055
"1985-10",1985,10,-0.49,0.703703703703704
"1985-11",1985,11,-0.37,0.708715596330275
"1985-12",1985,12,-0.41,0.697727272727273
"1986-01",1986,1,-0.66,0.744239631336405
"1986-02",1986,2,-0.71,0.755725190839695
"1986-03",1986,3,-0.42,0.720848056537102
"1986-04",1986,4,-0.33,0.662337662337662
"1986-05",1986,5,-0.53,0.71689497716895
"1986-06",1986,6,-0.31,0.628691983122363
"1986-07",1986,7,-0.11,0.611721611721612
"1986-08",1986,8,0.32,0.484939759036145
"1986-09",1986,9,0.53,0.440944881889764
"1986-10",1986,10,0.81,0.382716049382716
"1986-11",1986,11,1.01,0.392201834862385
"1986-12",1986,12,1.12,0.35
"1987-01",1987,1,1.14,0.329493087557604
"1987-02",1987,2,1.13,0.287531806615776
"1987-03",1987,3,0.98,0.226148409893993
"1987-04",1987,4,0.58,0.268398268398268
"1987-05",1987,5,0.62,0.191780821917808
"1987-06",1987,6,0.92,0.109704641350211
"1987-07",1987,7,1.29,0.0989010989010989
"1987-08",1987,8,1.57,0.108433734939759
"1987-09",1987,9,1.65,0.146981627296588
"1987-10",1987,10,1.24,0.276543209876543
"1987-11",1987,11,1.07,0.378440366972477
"1987-12",1987,12,0.94,0.390909090909091
"1988-01",1988,1,0.9,0.384792626728111
"1988-02",1988,2,0.28,0.50381679389313
"1988-03",1988,3,0.1,0.537102473498233
"1988-04",1988,4,-0.44,0.70995670995671
"1988-05",1988,5,-1.25,1
"1988-06",1988,6,-1.74,1
"1988-07",1988,7,-1.74,1
"1988-08",1988,8,-1.19,0.939759036144578
"1988-09",1988,9,-1,0.84251968503937
"1988-10",1988,10,-1.9,1
"1988-11",1988,11,-2.05,1
"1988-12",1988,12,-1.96,1
"1989-01",1989,1,-1.97,1
"1989-02",1989,2,-1.47,0.94910941475827
"1989-03",1989,3,-1.21,1
"1989-04",1989,4,-1.08,0.987012987012987
"1989-05",1989,5,-0.88,0.876712328767123
"1989-06",1989,6,-0.59,0.746835443037975
"1989-07",1989,7,-0.57,0.78021978021978
"1989-08",1989,8,-0.53,0.740963855421687
"1989-09",1989,9,-0.3,0.658792650918635
"1989-10",1989,10,-0.4,0.681481481481481
"1989-11",1989,11,-0.45,0.727064220183486
"1989-12",1989,12,-0.13,0.634090909090909
"1990-01",1990,1,0.01,0.589861751152074
"1990-02",1990,2,0.21,0.521628498727735
"1990-03",1990,3,0.04,0.558303886925795
"1990-04",1990,4,0.08,0.484848484848485
"1990-05",1990,5,0.08,0.438356164383562
"1990-06",1990,6,-0.08,0.531645569620253
"1990-07",1990,7,0.09,0.538461538461538
"1990-08",1990,8,0.22,0.515060240963855
"1990-09",1990,9,0.22,0.522309711286089
"1990-10",1990,10,0.21,0.530864197530864
"1990-11",1990,11,0.1,0.600917431192661
"1990-12",1990,12,0.35,0.525
"1991-01",1991,1,0.49,0.47926267281106
"1991-02",1991,2,0.32,0.493638676844784
"1991-03",1991,3,0.03,0.561837455830389
"1991-04",1991,4,0.19,0.437229437229437
"1991-05",1991,5,0.26,0.356164383561644
"1991-06",1991,6,0.52,0.278481012658228
"1991-07",1991,7,0.76,0.293040293040293
"1991-08",1991,8,0.68,0.376506024096386
"1991-09",1991,9,0.42,0.469816272965879
"1991-10",1991,10,0.86,0.37037037037037
"1991-11",1991,11,1.2,0.348623853211009
"1991-12",1991,12,1.69,0.220454545454546
"1992-01",1992,1,1.84,0.168202764976958
"1992-02",1992,2,1.78,0.122137404580153
"1992-03",1992,3,1.38,0.0848056537102474
"1992-04",1992,4,1.2,0
"1992-05",1992,5,1.04,0
"1992-06",1992,6,0.58,0.253164556962025
"1992-07",1992,7,0.22,0.490842490842491
"1992-08",1992,8,0.05,0.566265060240964
"1992-09",1992,9,-0.06,0.595800524934383
"1992-10",1992,10,-0.3,0.65679012345679
"1992-11",1992,11,-0.28,0.688073394495413
"1992-12",1992,12,-0.15,0.638636363636364
"1993-01",1993,1,0.14,0.559907834101382
"1993-02",1993,2,0.41,0.470737913486005
"1993-03",1993,3,0.39,0.434628975265018
"1993-04",1993,4,0.59,0.264069264069264
"1993-05",1993,5,0.78,0.118721461187215
"1993-06",1993,6,0.35,0.350210970464135
"1993-07",1993,7,0.23,0.487179487179487
"1993-08",1993,8,0.13,0.542168674698795
"1993-09",1993,9,0.35,0.488188976377953
"1993-10",1993,10,0.06,0.567901234567901
"1993-11",1993,11,0,0.623853211009174
"1993-12",1993,12,0.16,0.568181818181818
"1994-01",1994,1,0.1,0.569124423963134
"1994-02",1994,2,0.06,0.559796437659033
"1994-03",1994,3,0.11,0.53356890459364
"1994-04",1994,4,0.26,0.406926406926407
"1994-05",1994,5,0.31,0.333333333333333
"1994-06",1994,6,0.32,0.362869198312236
"1994-07",1994,7,0.24,0.483516483516484
"1994-08",1994,8,0.53,0.421686746987952
"1994-09",1994,9,0.48,0.454068241469816
"1994-10",1994,10,0.75,0.397530864197531
"1994-11",1994,11,1.11,0.369266055045872
"1994-12",1994,12,1.25,0.320454545454545
"1995-01",1995,1,1.02,0.357142857142857
"1995-02",1995,2,0.73,0.389312977099237
"1995-03",1995,3,0.46,0.409893992932862
"1995-04",1995,4,0.28,0.398268398268398
"1995-05",1995,5,-0.11,0.525114155251142
"1995-06",1995,6,-0.14,0.556962025316456
"1995-07",1995,7,-0.21,0.648351648351648
"1995-08",1995,8,-0.63,0.771084337349398
"1995-09",1995,9,-0.84,0.800524934383202
"1995-10",1995,10,-0.88,0.8
"1995-11",1995,11,-1.1,0.876146788990826
"1995-12",1995,12,-0.95,0.820454545454545
"1996-01",1996,1,-0.86,0.790322580645161
"1996-02",1996,2,-0.86,0.793893129770992
"1996-03",1996,3,-0.61,0.787985865724382
"1996-04",1996,4,-0.47,0.722943722943723
"1996-05",1996,5,-0.38,0.648401826484018
"1996-06",1996,6,-0.44,0.683544303797468
"1996-07",1996,7,-0.44,0.732600732600733
"1996-08",1996,8,-0.22,0.647590361445783
"1996-09",1996,9,-0.45,0.698162729658793
"1996-10",1996,10,-0.44,0.691358024691358
"1996-11",1996,11,-0.41,0.717889908256881
"1996-12",1996,12,-0.64,0.75
"1997-01",1997,1,-0.53,0.714285714285714
"1997-02",1997,2,-0.37,0.669211195928753
"1997-03",1997,3,-0.25,0.660777385159011
"1997-04",1997,4,0.16,0.45021645021645
"1997-05",1997,5,0.64,0.182648401826484
"1997-06",1997,6,1.09,0.0379746835443038
"1997-07",1997,7,1.56,0
"1997-08",1997,8,1.89,0.0120481927710844
"1997-09",1997,9,2.13,0.020997375328084
"1997-10",1997,10,2.36,0
"1997-11",1997,11,2.41,0.0711009174311927
"1997-12",1997,12,2.29,0.0840909090909091
"1998-01",1998,1,2.38,0.0437788018433178
"1998-02",1998,2,2.03,0.0585241730279898
"1998-03",1998,3,1.34,0.0989399293286219
"1998-04",1998,4,0.78,0.181818181818182
"1998-05",1998,5,0.57,0.214611872146119
"1998-06",1998,6,-0.39,0.662447257383966
"1998-07",1998,7,-0.99,0.934065934065934
"1998-08",1998,8,-1.28,0.966867469879518
"1998-09",1998,9,-1.26,0.910761154855643
"1998-10",1998,10,-1.46,0.94320987654321
"1998-11",1998,11,-1.46,0.958715596330275
"1998-12",1998,12,-1.69,0.988636363636364
"1999-01",1999,1,-1.69,0.981566820276498
"1999-02",1999,2,-1.32,0.910941475826972
"1999-03",1999,3,-0.95,0.908127208480565
"1999-04",1999,4,-1.11,1
"1999-05",1999,5,-1.15,1
"1999-06",1999,6,-1.19,1
"1999-07",1999,7,-1.17,1
"1999-08",1999,8,-1.22,0.948795180722892
"1999-09",1999,9,-1.09,0.866141732283465
"1999-10",1999,10,-1.23,0.88641975308642
"1999-11",1999,11,-1.58,0.986238532110092
"1999-12",1999,12,-1.74,1
"2000-01",2000,1,-1.77,1
"2000-02",2000,2,-1.55,0.969465648854962
"2000-03",2000,3,-0.98,0.918727915194346
"2000-04",2000,4,-0.87,0.896103896103896
"2000-05",2000,5,-0.86,0.867579908675799
"2000-06",2000,6,-0.79,0.831223628691983
"2000-07",2000,7,-0.67,0.816849816849817
"2000-08",2000,8,-0.49,0.728915662650602
"2000-09",2000,9,-0.52,0.716535433070866
"2000-10",2000,10,-0.7,0.755555555555556
"2000-11",2000,11,-0.79,0.805045871559633
"2000-12",2000,12,-0.92,0.813636363636364
"2001-01",2001,1,-0.73,0.76036866359447
"2001-02",2001,2,-0.63,0.735368956743003
"2001-03",2001,3,-0.48,0.742049469964664
"2001-04",2001,4,-0.49,0.731601731601732
"2001-05",2001,5,-0.34,0.63013698630137
"2001-06",2001,6,-0.19,0.578059071729958
"2001-07",2001,7,-0.04,0.586080586080586
"2001-08",2001,8,-0.05,0.596385542168675
"2001-09",2001,9,-0.2,0.63254593175853
"2001-10",2001,10,-0.14,0.617283950617284
"2001-11",2001,11,-0.37,0.708715596330275
"2001-12",2001,12,-0.41,0.697727272727273
"2002-01",2002,1,-0.15,0.626728110599078
"2002-02",2002,2,-0.04,0.585241730279898
"2002-03",2002,3,0.01,0.568904593639576
"2002-04",2002,4,0.02,0.510822510822511
"2002-05",2002,5,0.31,0.333333333333333
"2002-06",2002,6,0.72,0.194092827004219
"2002-07",2002,7,0.74,0.3003663003663
"2002-08",2002,8,0.87,0.319277108433735
"2002-09",2002,9,1.09,0.293963254593176
"2002-10",2002,10,1.25,0.274074074074074
"2002-11",2002,11,1.47,0.286697247706422
"2002-12",2002,12,1.37,0.293181818181818
"2003-01",2003,1,0.6,0.453917050691244
"2003-02",2003,2,0.64,0.412213740458015
"2003-03",2003,3,0.36,0.445229681978799
"2003-04",2003,4,-0.14,0.58008658008658
"2003-05",2003,5,-0.61,0.753424657534247
"2003-06",2003,6,-0.29,0.620253164556962
"2003-07",2003,7,0.21,0.494505494505495
"2003-08",2003,8,0.26,0.503012048192771
"2003-09",2003,9,0.27,0.509186351706037
"2003-10",2003,10,0.42,0.479012345679012
"2003-11",2003,11,0.33,0.548165137614679
"2003-12",2003,12,0.43,0.506818181818182
"2004-01",2004,1,0.27,0.529953917050691
"2004-02",2004,2,0.23,0.516539440203562
"2004-03",2004,3,0.12,0.530035335689046
"2004-04",2004,4,0.07,0.489177489177489
"2004-05",2004,5,0.06,0.447488584474886
"2004-06",2004,6,0.13,0.443037974683544
"2004-07",2004,7,0.49,0.391941391941392
"2004-08",2004,8,0.76,0.352409638554217
"2004-09",2004,9,0.81,0.36745406824147
"2004-10",2004,10,0.73,0.402469135802469
"2004-11",2004,11,0.66,0.472477064220184
"2004-12",2004,12,0.74,0.436363636363636
"2005-01",2005,1,0.66,0.440092165898617
"2005-02",2005,2,0.36,0.483460559796438
"2005-03",2005,3,0.45,0.413427561837456
"2005-04",2005,4,0.26,0.406926406926407
"2005-05",2005,5,0.3,0.337899543378995
"2005-06",2005,6,0.04,0.481012658227848
"2005-07",2005,7,-0.23,0.655677655677656
"2005-08",2005,8,-0.05,0.596385542168675
"2005-09",2005,9,-0.04,0.590551181102362
"2005-10",2005,10,-0.06,0.597530864197531
"2005-11",2005,11,-0.59,0.759174311926606
"2005-12",2005,12,-0.92,0.813636363636364
"2006-01",2006,1,-0.91,0.80184331797235
"2006-02",2006,2,-0.67,0.745547073791349
"2006-03",2006,3,-0.71,0.823321554770318
"2006-04",2006,4,-0.32,0.658008658008658
"2006-05",2006,5,-0.09,0.515981735159817
"2006-06",2006,6,0,0.49789029535865
"2006-07",2006,7,0.01,0.567765567765568
"2006-08",2006,8,0.31,0.487951807228916
"2006-09",2006,9,0.6,0.42257217847769
"2006-10",2006,10,0.7,0.409876543209877
"2006-11",2006,11,0.99,0.396788990825688
"2006-12",2006,12,1.14,0.345454545454546
"2007-01",2007,1,0.7,0.430875576036866
"2007-02",2007,2,0.13,0.541984732824427
"2007-03",2007,3,-0.18,0.636042402826855
"2007-04",2007,4,-0.32,0.658008658008658
"2007-05",2007,5,-0.47,0.689497716894977
"2007-06",2007,6,-0.35,0.645569620253165
"2007-07",2007,7,-0.59,0.787545787545788
"2007-08",2007,8,-0.72,0.798192771084337
"2007-09",2007,9,-1.11,0.871391076115486
"2007-10",2007,10,-1.39,0.925925925925926
"2007-11",2007,11,-1.54,0.977064220183486
"2007-12",2007,12,-1.58,0.963636363636364
"2008-01",2008,1,-1.68,0.97926267281106
"2008-02",2008,2,-1.67,1
"2008-03",2008,3,-1.21,1
"2008-04",2008,4,-0.99,0.948051948051948
"2008-05",2008,5,-0.84,0.858447488584475
"2008-06",2008,6,-0.68,0.784810126582279
"2008-07",2008,7,-0.3,0.681318681318681
"2008-08",2008,8,-0.13,0.620481927710843
"2008-09",2008,9,-0.25,0.645669291338583
"2008-10",2008,10,-0.35,0.669135802469136
"2008-11",2008,11,-0.46,0.729357798165138
"2008-12",2008,12,-0.86,0.8
"2009-01",2009,1,-0.89,0.797235023041475
"2009-02",2009,2,-0.79,0.776081424936387
"2009-03",2009,3,-0.69,0.816254416961131
"2009-04",2009,4,-0.35,0.670995670995671
"2009-05",2009,5,0.06,0.447488584474886
"2009-06",2009,6,0.31,0.367088607594937
"2009-07",2009,7,0.48,0.395604395604396
"2009-08",2009,8,0.56,0.412650602409639
"2009-09",2009,9,0.68,0.401574803149606
"2009-10",2009,10,0.89,0.362962962962963
"2009-11",2009,11,1.46,0.288990825688074
"2009-12",2009,12,1.74,0.209090909090909
"2010-01",2010,1,1.52,0.241935483870968
"2010-02",2010,2,1.25,0.256997455470738
"2010-03",2010,3,0.9,0.254416961130742
"2010-04",2010,4,0.38,0.354978354978355
"2010-05",2010,5,-0.22,0.575342465753425
"2010-06",2010,6,-0.69,0.789029535864979
"2010-07",2010,7,-1.07,0.963369963369963
"2010-08",2010,8,-1.39,1
"2010-09",2010,9,-1.6,1
"2010-10",2010,10,-1.69,1
"2010-11",2010,11,-1.64,1
"2010-12",2010,12,-1.6,0.968181818181818
"2011-01",2011,1,-1.54,0.947004608294931
"2011-02",2011,2,-1.11,0.857506361323155
"2011-03",2011,3,-0.93,0.901060070671378
"2011-04",2011,4,-0.77,0.852813852813853
"2011-05",2011,5,-0.52,0.712328767123288
"2011-06",2011,6,-0.38,0.658227848101266
"2011-07",2011,7,-0.43,0.728937728937729
"2011-08",2011,8,-0.65,0.77710843373494
"2011-09",2011,9,-0.8,0.79002624671916
"2011-10",2011,10,-1.05,0.841975308641975
"2011-11",2011,11,-1.19,0.896788990825688
"2011-12",2011,12,-1.06,0.845454545454545
"2012-01",2012,1,-0.87,0.792626728110599
"2012-02",2012,2,-0.67,0.745547073791349
"2012-03",2012,3,-0.61,0.787985865724382
"2012-04",2012,4,-0.5,0.735930735930736
"2012-05",2012,5,-0.32,0.621004566210046
"2012-06",2012,6,0.02,0.489451476793249
"2012-07",2012,7,0.25,0.47985347985348
"2012-08",2012,8,0.47,0.439759036144578
"2012-09",2012,9,0.38,0.480314960629921
"2012-10",2012,10,0.26,0.518518518518518
"2012-11",2012,11,0.16,0.587155963302752
"2012-12",2012,12,-0.25,0.661363636363636
"2013-01",2013,1,-0.53,0.714285714285714
"2013-02",2013,2,-0.52,0.707379134860051
"2013-03",2013,3,-0.25,0.660777385159011
"2013-04",2013,4,-0.25,0.627705627705628
"2013-05",2013,5,-0.4,0.657534246575342
"2013-06",2013,6,-0.42,0.675105485232067
"2013-07",2013,7,-0.39,0.714285714285714
"2013-08",2013,8,-0.38,0.69578313253012
"2013-09",2013,9,-0.18,0.627296587926509
"2013-10",2013,10,-0.2,0.632098765432099
"2013-11",2013,11,-0.14,0.655963302752294
"2013-12",2013,12,-0.17,0.643181818181818
"2014-01",2014,1,-0.49,0.705069124423963
"2014-02",2014,2,-0.62,0.732824427480916
"2014-03",2014,3,-0.28,0.671378091872792
"2014-04",2014,4,0.08,0.484848484848485
"2014-05",2014,5,0.32,0.328767123287671
"2014-06",2014,6,0.23,0.40084388185654
"2014-07",2014,7,-0.06,0.593406593406594
"2014-08",2014,8,-0.03,0.590361445783133
"2014-09",2014,9,0.29,0.503937007874016
"2014-10",2014,10,0.44,0.474074074074074
"2014-11",2014,11,0.75,0.451834862385321
"2014-12",2014,12,0.71,0.443181818181818
"2015-01",2015,1,0.51,0.474654377880184
"2015-02",2015,2,0.42,0.468193384223919
"2015-03",2015,3,0.47,0.406360424028269
"2015-04",2015,4,0.7,0.216450216450216
"2015-05",2015,5,0.92,0.0547945205479452
"2015-06",2015,6,1.18,0
"2015-07",2015,7,1.46,0.0366300366300366
"2015-08",2015,8,1.93,0
"2015-09",2015,9,2.21,0
"2015-10",2015,10,2.36,0
"2015-11",2015,11,2.72,0
"2015-12",2015,12,2.66,0
"2016-01",2016,1,2.57,0
"2016-02",2016,2,2.26,0
"2016-03",2016,3,1.62,0
"2016-04",2016,4,0.91,0.125541125541126
"2016-05",2016,5,0.3,0.337899543378995
"2016-06",2016,6,-0.03,0.510548523206751
"2016-07",2016,7,-0.48,0.747252747252747
"2016-08",2016,8,-0.58,0.756024096385542
"2016-09",2016,9,-0.58,0.732283464566929
"2016-10",2016,10,-0.74,0.765432098765432
"2016-11",2016,11,-0.76,0.798165137614679
"2016-12",2016,12,-0.5,0.718181818181818
"2017-01",2017,1,-0.43,0.691244239631336
"2017-02",2017,2,-0.08,0.595419847328244
"2017-03",2017,3,0.03,0.561837455830389
"2017-04",2017,4,0.22,0.424242424242424
"2017-05",2017,5,0.37,0.305936073059361
"2017-06",2017,6,0.34,0.354430379746835
"2017-07",2017,7,0.25,0.47985347985348
"2017-08",2017,8,-0.16,0.629518072289157
"2017-09",2017,9,-0.43,0.692913385826772
"2017-10",2017,10,-0.56,0.720987654320988
"2017-11",2017,11,-0.97,0.846330275229358
"2017-12",2017,12,-0.98,0.827272727272727
"2018-01",2018,1,-0.98,0.817972350230415
"2018-02",2018,2,-0.78,0.7735368956743
"2018-03",2018,3,-0.8,0.855123674911661
"2018-04",2018,4,-0.51,0.74025974025974
"2018-05",2018,5,-0.2,0.5662100456621
"2018-06",2018,6,0.04,0.481012658227848
"2018-07",2018,7,0.12,0.527472527472527
"2018-08",2018,8,0.09,0.55421686746988
"2018-09",2018,9,0.47,0.456692913385827
"2018-10",2018,10,0.9,0.360493827160494
"2018-11",2018,11,0.9,0.417431192660551
"2018-12",2018,12,0.89,0.402272727272727
"2019-01",2019,1,0.65,0.442396313364055
"2019-02",2019,2,0.71,0.39440203562341
"2019-03",2019,3,0.81,0.286219081272085
"2019-04",2019,4,0.62,0.251082251082251
"2019-05",2019,5,0.55,0.223744292237443
"2019-06",2019,6,0.45,0.308016877637131
"2019-07",2019,7,0.35,0.443223443223443
"2019-08",2019,8,0.04,0.569277108433735
"2019-09",2019,9,0.03,0.572178477690289
"2019-10",2019,10,0.48,0.464197530864198
"2019-11",2019,11,0.52,0.504587155963303
"2019-12",2019,12,0.52,0.486363636363636
"2020-01",2020,1,0.6,0.453917050691244
"2020-02",2020,2,0.37,0.480916030534351
"2020-03",2020,3,0.48,0.402826855123675
"2020-04",2020,4,0.36,0.363636363636364
"2020-05",2020,5,-0.27,0.598173515981735
"2020-06",2020,6,-0.34,0.641350210970464
"2020-07",2020,7,-0.3,0.681318681318681
"2020-08",2020,8,-0.59,0.759036144578313
"2020-09",2020,9,-0.83,0.797900262467192
"2020-10",2020,10,-1.26,0.893827160493827
"2020-11",2020,11,-1.42,0.94954128440367
"2020-12",2020,12,-1.15,0.865909090909091
"2021-01",2021,1,-1,0.82258064516129
"2021-02",2021,2,-1,0.829516539440204
"2021-03",2021,3,-0.8,0.855123674911661
"2021-04",2021,4,-0.72,0.831168831168831
"2021-05",2021,5,-0.46,0.684931506849315
"2021-06",2021,6,-0.28,0.616033755274262
"2021-07",2021,7,-0.39,0.714285714285714
"2021-08",2021,8,-0.53,0.740963855421687
"2021-09",2021,9,-0.55,0.724409448818898
"2021-10",2021,10,-0.94,0.814814814814815
"2021-11",2021,11,-0.94,0.839449541284404
"2021-12",2021,12,-1.06,0.845454545454545
"2022-01",2022,1,-0.94,0.808755760368664
"2022-02",2022,2,-0.89,0.801526717557252
"2022-03",2022,3,-0.97,0.915194346289753
"2022-04",2022,4,-1.11,1
"2022-05",2022,5,-1.11,0.981735159817352
"2022-06",2022,6,-0.75,0.814345991561181
"2022-07",2022,7,-0.69,0.824175824175824
"2022-08",2022,8,-0.97,0.873493975903614
"2022-09",2022,9,-1.07,0.860892388451444
"2022-10",2022,10,-0.99,0.827160493827161
"2022-11",2022,11,-0.9,0.830275229357798
"2022-12",2022,12,-0.85,0.797727272727273
"2023-01",2023,1,-0.72,0.758064516129032
"2023-02",2023,2,-0.46,0.692111959287532
"2023-03",2023,3,-0.11,0.6113074204947
"2023-04",2023,4,0.14,0.458874458874459
"2023-05",2023,5,0.46,0.264840182648402
"2023-06",2023,6,0.84,0.143459915611814
"2023-07",2023,7,1.02,0.197802197802198
"2023-08",2023,8,1.35,0.174698795180723
"2023-09",2023,9,1.6,0.16010498687664
"2023-10",2023,10,1.72,0.158024691358025
"2023-11",2023,11,2.02,0.160550458715596
"2023-12",2023,12,2.03,0.143181818181818
"2024-01",2024,1,1.81,0.175115207373272
"2024-02",2024,2,1.52,0.188295165394402
"2024-03",2024,3,1.13,0.173144876325088
"2024-04",2024,4,0.77,0.186147186147186
"2024-05",2024,5,0.23,0.36986301369863
"2024-06",2024,6,0.17,0.426160337552743
"2024-07",2024,7,0.04,0.556776556776557
"2024-08",2024,8,-0.12,0.617469879518072
"2024-09",2024,9,-0.26,0.648293963254593
"2024-10",2024,10,-0.27,0.649382716049383
"2024-11",2024,11,-0.25,0.681192660550459
"2024-12",2024,12,-0.6,0.740909090909091
