day_of_water_year,max_weighted_average_swe_in,min_weighted_average_swe_in,max_weighted_normalized_average_swe,min_weighted_normalized_average_swe
1,0.043,0,0,0
2,0.024,0,0,0
3,0.038,0,0,0
4,0.048,0,0,0
5,0.113,0,0,0
6,0.113,0,0,0
7,0.095,0,0,0
8,0.095,0,0,0
9,0.076,0,0,0
10,0.057,0,0,0
11,0.206,0,0,0
12,0.303,0,0,0
13,0.344,0,0,0
14,0.308,0,0,0
15,0.242,0,0,0
16,0.132,0,0.022,0
17,0.059,0,0.043,0
18,0.174,0,0.065,0
19,0.129,0,0.087,0
20,0.179,0,0.109,0
21,0.296,0,0.13,0
22,0.334,0,0.152,0
23,0.54,0,0.174,0
24,0.406,0,0.196,0
25,0.51,0,0.217,0
26,0.638,0,0.239,0
27,0.658,0,0.261,0
28,0.657,0,0.283,0
29,0.806,0,0.304,0
30,0.785,0,0.326,0
31,0.742,0,0.348,0
32,0.781,0,0.37,0
33,0.718,0,0.391,0
34,0.684,0,0.413,0
35,0.755,0,0.435,0
36,1.367,0,0.457,0
37,1.754,0,0.478,0
38,2.194,0,0.5,0
39,2.528,0,0.522,0
40,3.392,0,0.543,0
41,3.395,0,0.565,0
42,3.376,0,0.587,0
43,3.263,0,0.609,0
44,2.863,0,0.63,0
45,2.867,0,0.652,0
46,2.867,0,0.674,0
47,2.878,0,0.696,0
48,3.242,0,0.717,0
49,3.953,0,0.739,0
50,4.288,0,0.761,0
51,4.325,0,0.783,0
52,4.467,0,0.804,0
53,4.552,0.008,0.826,0
54,4.546,0.006,0.848,0
55,4.602,0.017,0.87,0
56,4.834,0.022,0.891,0
57,5.153,0.014,0.913,0
58,5.535,0.105,0.935,0
59,5.571,0.1,0.957,0
60,5.931,0.067,0.978,0
61,6.034,0.033,1,0
62,6.251,0.017,1,0
63,6.092,0.014,1,0
64,6.073,0.008,1,0
65,6.476,0,1,0
66,6.64,0,1,0
67,6.72,0,1,0
68,7.041,0,1,0
69,7.069,0,1,0
70,7.305,0,1,0
71,7.468,0.008,1,0
72,7.477,0.033,1,0
73,7.463,0.179,1,0
74,7.473,0.322,1,0
75,7.444,0.513,1,0
76,7.35,0.551,1,0
77,7.425,0.625,1,0
78,7.7,0.796,1,0
79,7.916,0.737,1,0
80,7.85,0.761,1,0
81,7.977,0.78,1,0
82,8.153,0.987,1,0
83,8.199,1.199,1,0
84,8.212,1.16,1,0
85,8.42,0.941,1,0
86,8.361,0.843,1,0
87,8.317,1.115,1,0
88,8.368,1.156,1,0
89,8.395,1.148,1,0
90,8.631,1.139,1,0
91,8.655,1.063,1,0
92,8.88,1.095,1,0
93,9.208,1.131,1,0
94,9.204,1.145,1,0
95,9.484,1.148,1,0
96,9.52,1.158,1,0
97,9.786,1.083,1,0
98,10.185,1.039,1,0
99,10.26,0.959,1,0
100,10.429,0.942,1,0
101,10.971,0.958,1,0
102,11.323,1.012,1,0
103,11.59,0.974,1,0
104,11.678,1.004,1,0
105,11.764,1.032,1,0
106,11.897,0.991,1,0
107,12.436,1.005,1,0
108,12.611,0.972,1,0
109,12.972,0.97,1,0
110,13.189,0.966,1,0
111,13.221,0.947,1,0
112,13.256,1.418,1,0
113,13.703,1.452,1,0
114,14.737,1.503,1,0
115,15.7,1.525,1,0
116,15.988,1.534,1,0
117,16.096,1.518,1,0
118,16.189,1.42,1,0
119,16.219,1.38,1,0
120,16.222,1.337,1,0
121,16.219,1.247,1,0
122,16.228,1.214,1,0
123,16.225,1.192,1,0
124,16.212,1.154,1,0
125,16.209,1.116,1,0
126,16.193,1.108,1,0
127,16.198,0.953,1,0
128,16.214,0.797,1,0
129,16.171,0.713,1,0
130,16.223,0.646,1,0
131,16.291,0.889,1,0
132,16.291,0.787,1,0
133,16.377,0.749,1,0
134,16.479,0.745,1,0
135,16.604,0.734,1,0
136,16.834,0.726,1,0
137,17.002,0.723,1,0
138,17.044,0.72,1,0
139,17.18,0.699,1,0
140,17.338,0.699,1,0
141,18.034,0.697,1,0
142,18.443,0.694,1,0
143,19.064,0.697,1,0
144,19.174,0.694,1,0
145,19.559,0.694,1,0
146,19.712,0.694,1,0
147,19.965,0.697,1,0
148,20.217,0.705,1,0
149,20.413,0.71,1,0
150,20.405,0.708,1,0
151,20.633,0.724,1,0
152,20.88,0.925,1,0
153,21.123,1.079,1,0
154,21.08,0.995,1,0
155,21.329,1.008,1,0
156,21.556,1.003,1,0
157,21.685,0.98,1,0
158,21.782,0.952,1,0
159,21.791,0.909,1,0
160,21.862,0.878,1,0
161,22.119,0.856,1,0
162,22.142,0.829,1,0
163,22.2,0.823,1,0
164,22.2,0.82,1,0
165,22.421,0.809,1,0
166,22.498,0.777,1,0
167,22.43,0.687,1,0
168,22.253,0.636,1,0
169,22.144,0.652,1,0
170,21.926,0.633,1,0
171,21.618,0.625,1,0
172,21.423,0.616,1,0
173,21.064,0.608,1,0
174,20.823,0.597,1,0
175,20.774,0.711,1,0
176,20.655,0.974,1,0
177,20.636,0.881,1,0
178,20.513,0.712,1,0
179,20.366,0.57,1,0
180,20.395,0.402,1,0
181,20.403,0.341,1,0
182,20.54,0.257,1,0
183,20.889,0.169,1,0
184,21.096,0.183,1,0
185,21.258,0.188,1,0
186,21.208,0.197,1,0
187,21.354,0.194,1,0
188,21.424,0.183,1,0
189,21.839,0.284,1,0
190,22.071,0.279,1,0
191,22.017,0.402,1,0
192,22.187,0.369,1,0
193,22.283,0.31,1,0
194,22.586,0.269,1,0
195,22.464,0.259,1,0
196,22.025,0.198,1,0
197,21.513,0.238,1,0
198,21.141,0.276,1,0
199,20.577,0.206,1,0
200,19.927,0.095,1,0
201,19.048,0,1,0
202,18.241,0,1,0
203,17.66,0,1,0
204,16.91,0,1,0
205,16.599,0,1,0
206,16.439,0,1,0
207,16.119,0,1,0
208,15.36,0,1,0
209,14.712,0,1,0
210,14.108,0,1,0
211,13.627,0,1,0
212,13.519,0,1,0
213,13.083,0,1,0
214,12.584,0,1,0
215,12.012,0,1,0
216,12.109,0,1,0
217,12.13,0,1,0
218,12.082,0,1,0
219,11.856,0,1,0
220,11.306,0,1,0
221,10.862,0,1,0
222,10.56,0,1,0
223,10.291,0,1,0
224,10.212,0,1,0
225,10.074,0,1,0
226,9.58,0,1,0
227,9.3,0,1,0
228,9.225,0,1,0
229,9.156,0,0.978,0
230,8.839,0,0.957,0
231,8.401,0,0.935,0
232,7.976,0,0.913,0
233,7.642,0,0.891,0
234,7.303,0,0.87,0
235,6.936,0,0.848,0
236,6.501,0,0.826,0
237,6.007,0,0.804,0
238,5.334,0,0.783,0
239,4.813,0,0.761,0
240,4.462,0,0.739,0
241,4.509,0,0.717,0
242,4.5,0,0.696,0
243,4.459,0,0.674,0
244,4.354,0,0.652,0
245,4.355,0,0.63,0
246,4.419,0,0.609,0
247,4.348,0,0.587,0
248,4.138,0,0.565,0
249,3.92,0,0.543,0
250,3.699,0,0.522,0
251,3.439,0,0.5,0
252,3.041,0,0.478,0
253,2.694,0,0.457,0
254,2.418,0,0.435,0
255,2.167,0,0.413,0
256,2.061,0,0.391,0
257,1.857,0,0.37,0
258,1.313,0,0.348,0
259,1.197,0,0.326,0
260,1.095,0,0.304,0
261,1.003,0,0.283,0
262,0.89,0,0.261,0
263,0.813,0,0.239,0
264,0.674,0,0.217,0
265,0.534,0,0.196,0
266,0.395,0,0.174,0
267,0.263,0,0.152,0
268,0.182,0,0.13,0
269,0.138,0,0.109,0
270,0.083,0,0.087,0
271,0.03,0,0.065,0
272,0.011,0,0.043,0
273,0,0,0.029,0
274,0,0,0.014,0
275,0,0,0,0
276,0,0,0,0
277,0,0,0,0
278,0,0,0,0
279,0,0,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
283,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
287,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
291,0,0,0,0
292,0,0,0,0
293,0,0,0,0
294,0,0,0,0
295,0,0,0,0
296,0,0,0,0
297,0.008,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
301,0,0,0,0
302,0,0,0,0
303,0,0,0,0
304,0,0,0,0
305,0,0,0,0
306,0,0,0,0
307,0,0,0,0
308,0,0,0,0
309,0,0,0,0
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,0,0,0,0
314,0,0,0,0
315,0,0,0,0
316,0,0,0,0
317,0,0,0,0
318,0,0,0,0
319,0,0,0,0
320,0,0,0,0
321,0,0,0,0
322,0,0,0,0
323,0,0,0,0
324,0,0,0,0
325,0,0,0,0
326,0,0,0,0
327,0,0,0,0
328,0,0,0,0
329,0,0,0,0
330,0,0,0,0
331,0,0,0,0
332,0,0,0,0
333,0,0,0,0
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,0,0,0,0
347,0,0,0,0
348,0,0,0,0
349,0,0,0,0
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0.008,0,0,0
355,0.011,0,0,0
356,0.011,0,0,0
357,0.06,0,0,0
358,0.057,0,0,0
359,0.038,0,0,0
360,0.051,0,0,0
361,0.04,0,0,0
362,0.04,0,0,0
363,0.011,0,0,0
364,0,0,0,0
365,0.047,0,0,0
