ukl_ft_navd88,ukl_ft_usbrkb,tot_cap_taf,act_cap_taf,inund_area_ac
4139.31,4137.30,352.744,85.441,"68,017"
4139.32,4137.31,353.425,86.121,"68,038"
4139.33,4137.32,354.105,86.802,"68,058"
4139.34,4137.33,354.786,87.482,"68,078"
4139.35,4137.34,355.467,88.163,"68,099"
4139.36,4137.35,356.148,88.844,"68,119"
4139.37,4137.36,356.829,89.525,"68,138"
4139.38,4137.37,357.511,90.207,"68,158"
4139.39,4137.38,358.192,90.889,"68,178"
4139.40,4137.39,358.874,91.570,"68,198"
4139.41,4137.40,359.556,92.253,"68,217"
4139.42,4137.41,360.239,92.935,"68,237"
4139.43,4137.42,360.921,93.617,"68,256"
4139.44,4137.43,361.604,94.300,"68,275"
4139.45,4137.44,362.287,94.983,"68,295"
4139.46,4137.45,362.970,95.666,"68,314"
4139.47,4137.46,363.653,96.349,"68,333"
4139.48,4137.47,364.336,97.032,"68,352"
4139.49,4137.48,365.020,97.716,"68,371"
4139.50,4137.49,365.704,98.400,"68,390"
4139.51,4137.50,366.388,99.084,"68,409"
4139.52,4137.51,367.072,99.768,"68,427"
4139.53,4137.52,367.756,100.452,"68,446"
4139.54,4137.53,368.441,101.137,"68,465"
4139.55,4137.54,369.125,101.822,"68,483"
4139.56,4137.55,369.810,102.507,"68,502"
4139.57,4137.56,370.496,103.192,"68,520"
4139.58,4137.57,371.181,103.877,"68,539"
4139.59,4137.58,371.866,104.563,"68,557"
4139.60,4137.59,372.552,105.248,"68,575"
4139.61,4137.60,373.238,105.934,"68,594"
4139.62,4137.61,373.924,106.620,"68,612"
4139.63,4137.62,374.610,107.306,"68,630"
4139.64,4137.63,375.296,107.993,"68,648"
4139.65,4137.64,375.983,108.679,"68,666"
4139.66,4137.65,376.670,109.366,"68,684"
4139.67,4137.66,377.357,110.053,"68,702"
4139.68,4137.67,378.044,110.740,"68,720"
4139.69,4137.68,378.731,111.427,"68,738"
4139.70,4137.69,379.419,112.115,"68,756"
4139.71,4137.70,380.106,112.802,"68,774"
4139.72,4137.71,380.794,113.490,"68,791"
4139.73,4137.72,381.482,114.178,"68,809"
4139.74,4137.73,382.170,114.866,"68,827"
4139.75,4137.74,382.859,115.555,"68,844"
4139.76,4137.75,383.547,116.243,"68,862"
4139.77,4137.76,384.236,116.932,"68,879"
4139.78,4137.77,384.925,117.621,"68,897"
4139.79,4137.78,385.614,118.310,"68,914"
4139.80,4137.79,386.303,118.999,"68,932"
4139.81,4137.80,386.992,119.689,"68,949"
4139.82,4137.81,387.682,120.378,"68,967"
4139.83,4137.82,388.372,121.068,"68,984"
4139.84,4137.83,389.062,121.758,"69,001"
4139.85,4137.84,389.752,122.448,"69,018"
4139.86,4137.85,390.442,123.138,"69,036"
4139.87,4137.86,391.132,123.829,"69,053"
4139.88,4137.87,391.823,124.519,"69,070"
4139.89,4137.88,392.514,125.210,"69,087"
4139.90,4137.89,393.205,125.901,"69,104"
4139.91,4137.90,393.896,126.592,"69,121"
4139.92,4137.91,394.587,127.283,"69,138"
4139.93,4137.92,395.279,127.975,"69,155"
4139.94,4137.93,395.970,128.667,"69,172"
4139.95,4137.94,396.662,129.358,"69,189"
4139.96,4137.95,397.354,130.050,"69,206"
4139.97,4137.96,398.046,130.743,"69,223"
4139.98,4137.97,398.739,131.435,"69,240"
4139.99,4137.98,399.431,132.127,"69,256"
4140.00,4137.99,400.124,132.820,"69,273"
4140.01,4138.00,400.816,133.513,"69,285"
4140.02,4138.01,401.509,134.206,"69,301"
4140.03,4138.02,402.202,134.899,"69,320"
4140.04,4138.03,402.896,135.592,"69,341"
4140.05,4138.04,403.589,136.286,"69,363"
4140.06,4138.05,404.283,136.979,"69,387"
4140.07,4138.06,404.977,137.673,"69,412"
4140.08,4138.07,405.671,138.368,"69,438"
4140.09,4138.08,406.366,139.062,"69,464"
4140.10,4138.09,407.061,139.757,"69,492"
4140.11,4138.10,407.756,140.452,"69,521"
4140.12,4138.11,408.451,141.147,"69,550"
4140.13,4138.12,409.147,141.843,"69,580"
4140.14,4138.13,409.843,142.539,"69,610"
4140.15,4138.14,410.539,143.235,"69,641"
4140.16,4138.15,411.235,143.932,"69,673"
4140.17,4138.16,411.932,144.629,"69,706"
4140.18,4138.17,412.630,145.326,"69,738"
4140.19,4138.18,413.327,146.023,"69,772"
4140.20,4138.19,414.025,146.721,"69,806"
4140.21,4138.20,414.723,147.419,"69,840"
4140.22,4138.21,415.422,148.118,"69,875"
4140.23,4138.22,416.121,148.817,"69,910"
4140.24,4138.23,416.820,149.516,"69,946"
4140.25,4138.24,417.520,150.216,"69,982"
4140.26,4138.25,418.220,150.916,"70,019"
4140.27,4138.26,418.920,151.616,"70,056"
4140.28,4138.27,419.621,152.317,"70,093"
4140.29,4138.28,420.322,153.018,"70,131"
4140.30,4138.29,421.023,153.720,"70,169"
4140.31,4138.30,421.725,154.422,"70,207"
4140.32,4138.31,422.428,155.124,"70,246"
4140.33,4138.32,423.130,155.826,"70,285"
4140.34,4138.33,423.833,156.529,"70,325"
4140.35,4138.34,424.537,157.233,"70,365"
4140.36,4138.35,425.241,157.937,"70,405"
4140.37,4138.36,425.945,158.641,"70,445"
4140.38,4138.37,426.649,159.346,"70,486"
4140.39,4138.38,427.354,160.051,"70,527"
4140.40,4138.39,428.060,160.756,"70,568"
