date,mean_total_daily_precip_ukl,mean_total_daily_precip_williamson,mean_total_daily_precip_sprague
10/1/2020,0,0,0
10/2/2020,0,0,0
10/3/2020,0,0,0
10/4/2020,0.007,0,0.006
10/5/2020,0,0,0
10/6/2020,0,0,0
10/7/2020,0.003,0,0
10/8/2020,0,0,0.006
10/9/2020,0.05,0.045,0.006
10/10/2020,0.461,0.269,0.265
10/11/2020,0.078,0.012,0.003
10/12/2020,0.038,0,0
10/13/2020,0.105,0.015,0
10/14/2020,0,0,0
10/15/2020,0,0,0
10/16/2020,0.038,0,0
10/17/2020,0,0,0
10/18/2020,0,0,0
10/19/2020,0,0,0
10/20/2020,0,0,0
10/21/2020,0.008,0,0
10/22/2020,0,0,0
10/23/2020,0,0,0
10/24/2020,0.003,0,0
10/25/2020,0,0,0
10/26/2020,0,0,0
10/27/2020,0,0,0
10/28/2020,0.038,0,0
10/29/2020,0.009,0,0
10/30/2020,0,0,0
10/31/2020,0,0,0
11/1/2020,0,0,0
11/2/2020,0,0,0
11/3/2020,0,0,0.006
11/4/2020,0,0.03,0.009
11/5/2020,0.091,0.055,0.04
11/6/2020,0.146,0.062,0.218
11/7/2020,0.162,0.021,0.022
11/8/2020,0.055,0.009,0.016
11/9/2020,0.01,0.041,0.028
11/10/2020,0.073,0.046,0.011
11/11/2020,0.047,0,0
11/12/2020,0.101,0.172,0.102
11/13/2020,1.127,0.957,0.626
11/14/2020,0.76,0.789,0.296
11/15/2020,1.872,1.253,0.86
11/16/2020,0.022,0.006,0.004
11/17/2020,0.282,0.322,0.305
11/18/2020,0.435,0.319,0.146
11/19/2020,0.08,0.03,0.048
11/20/2020,0,0,0
11/21/2020,0.013,0.001,0.012
11/22/2020,0.089,0.073,0.036
11/23/2020,0.013,0.002,0
11/24/2020,0.151,0.065,0.051
11/25/2020,0.188,0.029,0.04
11/26/2020,0.002,0,0
11/27/2020,0.002,0,0
11/28/2020,0.02,0,0
11/29/2020,0,0,0.006
11/30/2020,0.005,0.002,0
12/1/2020,0,0,0
12/2/2020,0.015,0,0
12/3/2020,0.019,0,0
12/4/2020,0,0,0.001
12/5/2020,0.113,0.096,0.042
12/6/2020,0.019,0.001,0.001
12/7/2020,0.014,0,0
12/8/2020,0.014,0.009,0
12/9/2020,0.012,0,0
12/10/2020,0.057,0.008,0
12/11/2020,0.167,0.055,0.115
12/12/2020,0.021,0.033,0
12/13/2020,0.594,0.342,0.268
12/14/2020,0.076,0.011,0.016
12/15/2020,0.162,0.086,0.056
12/16/2020,0.559,0.546,0.347
12/17/2020,0.196,0.038,0.025
12/18/2020,0.06,0.051,0.017
12/19/2020,0.108,0.072,0.013
