date,mean_total_daily_precip_ukl,mean_total_daily_precip_williamson,mean_total_daily_precip_sprague
12/20/2020,0.166,0.182,0.019
12/21/2020,0.123,0.034,0.013
12/22/2020,0.022,0,0
12/23/2020,0.008,0,0.006
12/24/2020,0.013,0,0.004
12/25/2020,0.317,0.301,0.144
12/26/2020,0.258,0.076,0.068
12/27/2020,0,0,0
12/28/2020,0,0,0
12/29/2020,0.04,0.045,0.055
12/30/2020,0.447,0.35,0.217
12/31/2020,0.116,0.04,0
1/1/2021,0.275,0.196,0.118
1/2/2021,0.1,0.104,0.031
1/3/2021,0.188,0.231,0.085
1/4/2021,0.343,0.272,0.199
1/5/2021,0.041,0.002,0.007
1/6/2021,0.324,0.311,0.176
1/7/2021,0.15,0.092,0.059
1/8/2021,0.298,0.213,0.204
1/9/2021,0.039,0.034,0.035
1/10/2021,0.054,0.059,0.021
1/11/2021,0.025,0.025,0.038
1/12/2021,0.608,0.574,0.16
1/13/2021,0.309,0.126,0.106
1/14/2021,0,0,0
1/15/2021,0.016,0,0.004
1/16/2021,0,0,0
1/17/2021,0,0,0
1/18/2021,0.002,0,0
1/19/2021,0,0,0
1/20/2021,0,0,0
1/21/2021,0,0,0
1/22/2021,0,0,0
1/23/2021,0.002,0,0.002
1/24/2021,0.146,0.055,0.078
1/25/2021,0.016,0,0.004
1/26/2021,0.289,0.293,0.14
1/27/2021,0.107,0.146,0.096
1/28/2021,0.221,0.159,0.12
1/29/2021,0.016,0.017,0.016
1/30/2021,0.062,0.043,0.004
1/31/2021,0.091,0.103,0
2/1/2021,0.137,0.132,0.083
2/2/2021,0.171,0.099,0.099
2/3/2021,0.311,0.201,0.09
2/4/2021,0.034,0.062,0.044
2/5/2021,0,0,0.004
2/6/2021,0.006,0,0
2/7/2021,0.003,0,0.004
2/8/2021,0,0.016,0.001
2/9/2021,0,0,0
2/10/2021,0,0,0.007
2/11/2021,0.305,0.223,0.209
2/12/2021,0.493,0.263,0.18
2/13/2021,0.585,0.333,0.177
2/14/2021,0.512,0.294,0.23
2/15/2021,0.542,0.302,0.135
2/16/2021,0.211,0.02,0
2/17/2021,0,0,0
2/18/2021,0.888,0.75,0.436
2/19/2021,0.308,0.203,0.123
2/20/2021,0.103,0.026,0.008
2/21/2021,0.007,0.005,0.018
2/22/2021,0.036,0.012,0
2/23/2021,0,0,0
2/24/2021,0.004,0,0
2/25/2021,0.029,0.039,0.013
2/26/2021,0.259,0.152,0.019
2/27/2021,0.079,0.004,0.008
2/28/2021,0.014,0,0.006
3/1/2021,0,0,0
3/2/2021,0.014,0,0
3/3/2021,0,0,0
3/4/2021,0.001,0.018,0.009
3/5/2021,0.105,0.068,0.012
3/6/2021,0.077,0.037,0.026
3/7/2021,0.016,0.009,0.009
3/8/2021,0.066,0.081,0.068
3/9/2021,0.075,0.109,0.054
3/10/2021,0.202,0.117,0.109
3/11/2021,0,0,0.003
3/12/2021,0.012,0.024,0.033
3/13/2021,0,0.002,0.012
3/14/2021,0.19,0.169,0.181
3/15/2021,0.037,0.011,0.081
3/16/2021,0.008,0.004,0.017
3/17/2021,0.027,0.026,0.038
3/18/2021,0.097,0.079,0.113
3/19/2021,0.045,0.02,0.054
3/20/2021,0.103,0.047,0.007
3/21/2021,0.045,0.031,0.005
3/22/2021,0.253,0.101,0.045
3/23/2021,0.009,0.002,0.004
3/24/2021,0.124,0.07,0.038
3/25/2021,0.08,0.008,0
3/26/2021,0.013,0,0
3/27/2021,0,0,0
3/28/2021,0.008,0.002,0
3/29/2021,0,0,0
3/30/2021,0,0,0
3/31/2021,0,0,0
4/1/2021,0,0,0
4/2/2021,0,0,0
4/3/2021,0,0,0
4/4/2021,0,0,0
4/5/2021,0,0,0
4/6/2021,0,0,0
4/7/2021,0,0,0
4/8/2021,0,0,0
4/9/2021,0,0,0
4/10/2021,0,0,0
4/11/2021,0,0,0
4/12/2021,0,0,0
4/13/2021,0,0.011,0.025
4/14/2021,0,0,0
4/15/2021,0.01,0,0
4/16/2021,0,0,0
4/17/2021,0,0,0
4/18/2021,0,0,0
4/19/2021,0,0.001,0
4/20/2021,0.023,0.001,0.011
4/21/2021,0,0,0
4/22/2021,0,0.001,0.01
4/23/2021,0.035,0.038,0.062
4/24/2021,0.137,0.085,0.322
4/25/2021,0.294,0.219,0.322
4/26/2021,0.05,0.036,0.062
4/27/2021,0.016,0,0.002
4/28/2021,0,0,0
4/29/2021,0,0,0
4/30/2021,0,0.005,0
5/1/2021,0.012,0.027,0.031
5/2/2021,0,0,0
5/3/2021,0.009,0.003,0.005
5/4/2021,0,0,0
5/5/2021,0,0,0
5/6/2021,0,0,0
5/7/2021,0,0,0
5/8/2021,0.009,0,0.005
5/9/2021,0.009,0,0
5/10/2021,0.018,0,0
5/11/2021,0.009,0,0
5/12/2021,0,0,0
5/13/2021,0,0.003,0
5/14/2021,0.013,0.135,0.005
5/15/2021,0,0,0
5/16/2021,0,0,0
5/17/2021,0,0,0
5/18/2021,0.002,0,0
5/19/2021,0.042,0.009,0.052
5/20/2021,0.069,0.025,0.059
5/21/2021,0.033,0.044,0.086
5/22/2021,0.004,0.037,0.092
5/23/2021,0,0,0
5/24/2021,0.008,0.029,0.024
5/25/2021,0.04,0.034,0.01
5/26/2021,0,0.006,0.002
5/27/2021,0.008,0.004,0
5/28/2021,0,0,0
5/29/2021,0,0,0
5/30/2021,0,0,0
5/31/2021,0,0,0
6/1/2021,0,0,0
6/2/2021,0,0.01,0.001
6/3/2021,0,0,0
6/4/2021,0.005,0,0
6/5/2021,0.006,0,0
6/6/2021,0.007,0,0
6/7/2021,0,0,0
6/8/2021,0.022,0.024,0.003
6/9/2021,0.06,0.056,0.071
6/10/2021,0.001,0.022,0.002
6/11/2021,0.364,0.341,0.091
6/12/2021,0,0,0
6/13/2021,0.009,0.007,0
6/14/2021,0.025,0.047,0.001
6/15/2021,0,0.002,0
6/16/2021,0,0,0
6/17/2021,0,0,0
6/18/2021,0,0,0
6/19/2021,0,0,0
6/20/2021,0,0,0
6/21/2021,0,0.035,0.014
6/22/2021,0.003,0.041,0.081
6/23/2021,0,0,0
6/24/2021,0.013,0.002,0.003
6/25/2021,0,0,0
6/26/2021,0,0,0
6/27/2021,0,0,0
6/28/2021,0,0,0
6/29/2021,0,0,0
6/30/2021,0,0,0
7/1/2021,0.004,0,0
7/2/2021,0,0,0
7/3/2021,0,0,0
7/4/2021,0,0,0
7/5/2021,0,0,0
7/6/2021,0,0,0
7/7/2021,0,0,0
7/8/2021,0,0,0
7/9/2021,0,0,0
7/10/2021,0,0,0
7/11/2021,0.009,0,0
7/12/2021,0.025,0,0
7/13/2021,0,0,0
7/14/2021,0.003,0,0
7/15/2021,0,0,0
7/16/2021,0,0,0
7/17/2021,0,0,0
7/18/2021,0,0,0
7/19/2021,0,0,0
7/20/2021,0,0,0.001
7/21/2021,0,0,0
7/22/2021,0,0,0.002
7/23/2021,0,0,0
7/24/2021,0,0,0
7/25/2021,0,0,0
7/26/2021,0.004,0.01,0.008
7/27/2021,0.216,0.319,0.211
7/28/2021,0,0,0.002
7/29/2021,0.082,0.05,0.016
7/30/2021,0,0,0.007
7/31/2021,0.03,0.006,0.036
8/1/2021,0,0.005,0
8/2/2021,0,0,0
8/3/2021,0,0,0
8/4/2021,0,0,0
8/5/2021,0,0.006,0
8/6/2021,0,0,0
8/7/2021,0,0,0
8/8/2021,0,0,0
8/9/2021,0,0,0
8/10/2021,0,0,0
8/11/2021,0,0,0
8/12/2021,0,0,0
8/13/2021,0,0,0
8/14/2021,0,0,0
8/15/2021,0,0,0
8/16/2021,0.014,0,0
8/17/2021,0.022,0.004,0.004
8/18/2021,0,0.003,0
8/19/2021,0,0,0
8/20/2021,0,0,0
8/21/2021,0,0,0
8/22/2021,0,0,0
8/23/2021,0,0,0
8/24/2021,0,0,0
8/25/2021,0,0,0
8/26/2021,0,0,0
8/27/2021,0,0,0
8/28/2021,0,0,0
8/29/2021,0,0,0
8/30/2021,0,0,0
8/31/2021,0,0,0
9/1/2021,0,0,0
9/2/2021,0,0,0
9/3/2021,0,0,0
9/4/2021,0,0,0
9/5/2021,0,0,0
9/6/2021,0,0,0
9/7/2021,0,0,0
9/8/2021,0.001,0,0.005
9/9/2021,0.218,0.149,0.119
9/10/2021,0.324,0.435,0.484
9/11/2021,0,0,0
9/12/2021,0,0,0
9/13/2021,0,0,0
9/14/2021,0,0,0
9/15/2021,0,0,0
9/16/2021,0,0,0
9/17/2021,0.014,0.011,0
9/18/2021,0.386,0.325,0.301
9/19/2021,0.184,0.06,0.003
9/20/2021,0.017,0,0.001
9/21/2021,0,0,0
9/22/2021,0,0,0
9/23/2021,0,0,0
9/24/2021,0,0,0
9/25/2021,0,0,0
9/26/2021,0,0.001,0
9/27/2021,0.426,0.339,0.355
9/28/2021,0.065,0.018,0.007
9/29/2021,0.026,0.013,0.002
9/30/2021,0,0.018,0.001
10/1/2021,0,0,0
10/2/2021,0,0,0
10/3/2021,0,0,0
10/4/2021,0,0,0
10/5/2021,0.043,0.004,0.006
10/6/2021,0.009,0,0
10/7/2021,0,0.012,0.018
10/8/2021,0,0,0.004
10/9/2021,0,0,0
10/10/2021,0.057,0.01,0.005
10/11/2021,0.031,0,0
10/12/2021,0.045,0.023,0.015
10/13/2021,0.034,0.003,0
10/14/2021,0,0,0
10/15/2021,0,0,0.007
10/16/2021,0,0,0
10/17/2021,0.132,0.082,0.049
10/18/2021,0.028,0.001,0.024
10/19/2021,0.079,0.031,0.02
10/20/2021,0.105,0.149,0.057
10/21/2021,0.792,0.539,0.247
10/22/2021,0.468,0.456,0.75
10/23/2021,0.552,0.304,0.252
10/24/2021,0.525,0.651,1.04
10/25/2021,0.179,0.098,0.157
10/26/2021,0.196,0.148,0.057
10/27/2021,0.05,0.008,0.01
10/28/2021,0,0,0
10/29/2021,0.002,0.009,0
10/30/2021,0.233,0.153,0.115
10/31/2021,0.065,0.035,0.006
11/1/2021,0.614,0.551,0.486
11/2/2021,0.014,0,0
11/3/2021,0.075,0.041,0.001
11/4/2021,0.207,0.218,0.077
11/5/2021,0.213,0.213,0.223
11/6/2021,0.167,0.098,0.015
11/7/2021,0,0,0
11/8/2021,0.45,0.319,0.205
11/9/2021,0.421,0.427,0.344
11/10/2021,0.562,0.649,0.307
11/11/2021,0.045,0.088,0.003
11/12/2021,0.026,0.004,0
11/13/2021,0,0,0
11/14/2021,0,0,0
11/15/2021,0.162,0.033,0.013
11/16/2021,0.002,0,0
11/17/2021,0.01,0.038,0.023
11/18/2021,0.105,0.101,0.046
11/19/2021,0.045,0.001,0.005
11/20/2021,0.003,0,0
11/21/2021,0.011,0.001,0.001
11/22/2021,0.019,0.008,0
11/23/2021,0.066,0.037,0
11/24/2021,0.034,0.007,0.008
11/25/2021,0.012,0.009,0.004
11/26/2021,0.088,0.029,0.009
11/27/2021,0.01,0,0
11/28/2021,0,0,0
11/29/2021,0,0,0
11/30/2021,0,0,0
12/1/2021,0,0,0
12/2/2021,0,0,0
12/3/2021,0,0,0
12/4/2021,0,0,0
12/5/2021,0,0,0.008
12/6/2021,0.04,0.065,0.023
12/7/2021,0.008,0,0
12/8/2021,0.005,0.001,0
12/9/2021,0.041,0.012,0.001
12/10/2021,0.024,0.004,0
12/11/2021,0.54,0.686,0.388
12/12/2021,0.405,0.362,0.174
12/13/2021,0.455,0.422,0.412
12/14/2021,0.045,0.004,0.038
12/15/2021,0.737,0.827,0.626
12/16/2021,0.169,0.029,0.021
12/17/2021,0,0,0
12/18/2021,0.15,0.088,0.04
12/19/2021,0.092,0.104,0.012
12/20/2021,0,0,0
12/21/2021,0.021,0.05,0.018
12/22/2021,0.524,0.368,0.355
12/23/2021,0.392,0.205,0.295
12/24/2021,0.667,0.539,0.284
12/25/2021,0.385,0.231,0.182
12/26/2021,0.873,0.541,0.554
12/27/2021,0.294,0.131,0.144
12/28/2021,0.241,0.147,0.157
12/29/2021,0.092,0.005,0.019
12/30/2021,0.182,0.038,0.034
12/31/2021,0.167,0.002,0.001
1/1/2022,0.012,0.004,0
1/2/2022,0.002,0.083,0.072
1/3/2022,1.03,0.825,0.405
1/4/2022,0.812,0.598,0.361
1/5/2022,0.446,0.233,0.088
1/6/2022,0.208,0.127,0.052
1/7/2022,0.285,0.175,0.149
1/8/2022,0.002,0,0
1/9/2022,0,0.003,0.016
1/10/2022,0.033,0.026,0
1/11/2022,0.01,0,0
1/12/2022,0,0,0
1/13/2022,0.009,0.005,0
1/14/2022,0,0,0
1/15/2022,0,0,0
1/16/2022,0,0,0
1/17/2022,0,0,0
1/18/2022,0.001,0,0
1/19/2022,0.001,0,0
1/20/2022,0.004,0,0
1/21/2022,0,0,0
1/22/2022,0,0,0
1/23/2022,0,0,0
1/24/2022,0,0,0
1/25/2022,0.003,0,0
1/26/2022,0,0,0.006
1/27/2022,0.001,0,0
1/28/2022,0,0,0
1/29/2022,0,0,0
1/30/2022,0.025,0.017,0
1/31/2022,0,0.001,0
2/1/2022,0.006,0,0
2/2/2022,0.038,0,0
2/3/2022,0.009,0,0
2/4/2022,0.009,0,0
2/5/2022,0,0,0
2/6/2022,0.009,0,0
2/7/2022,0,0,0
2/8/2022,0,0.016,0
2/9/2022,0,0,0
2/10/2022,0,0,0
2/11/2022,0,0,0
2/12/2022,0,0,0
2/13/2022,0,0,0
2/14/2022,0.157,0.051,0.037
2/15/2022,0.017,0,0
2/16/2022,0.01,0,0
2/17/2022,0.021,0.01,0
2/18/2022,0,0,0
2/19/2022,0,0,0
2/20/2022,0.055,0.048,0
2/21/2022,0.307,0.1,0.135
2/22/2022,0,0,0.011
2/23/2022,0.01,0,0
2/24/2022,0.009,0.001,0
2/25/2022,0.056,0.043,0.013
2/26/2022,0.128,0.136,0.053
2/27/2022,0.04,0.055,0.023
2/28/2022,0.002,0.014,0
3/1/2022,0.006,0.043,0.022
3/2/2022,0.012,0.023,0.003
3/3/2022,0.054,0.008,0.042
3/4/2022,0.013,0.003,0
3/5/2022,0,0.008,0.01
3/6/2022,0,0,0
3/7/2022,0,0.002,0.007
3/8/2022,0,0,0
3/9/2022,0.035,0.027,0.025
3/10/2022,0,0.024,0.003
3/11/2022,0.01,0.012,0.017
3/12/2022,0.287,0.21,0.099
3/13/2022,0.084,0.059,0.043
3/14/2022,0.184,0.12,0.073
3/15/2022,0.335,0.184,0.149
3/16/2022,0,0,0
3/17/2022,0,0,0
3/18/2022,0.014,0,0.015
3/19/2022,0.182,0.027,0.095
3/20/2022,0.02,0.035,0.019
3/21/2022,0.058,0.026,0.002
3/22/2022,0,0,0
3/23/2022,0,0,0
3/24/2022,0,0,0
3/25/2022,0,0,0
3/26/2022,0,0,0
3/27/2022,0,0,0
3/28/2022,0.064,0.004,0
3/29/2022,0,0,0
3/30/2022,0,0,0
3/31/2022,0,0,0
4/1/2022,0,0,0
4/2/2022,0,0,0
4/3/2022,0.049,0.028,0.015
4/4/2022,0.929,0.586,0.362
4/5/2022,0.053,0.003,0.008
4/6/2022,0.015,0.004,0
4/7/2022,0,0,0
4/8/2022,0,0,0
4/9/2022,0,0,0.006
4/10/2022,0.417,0.284,0.152
4/11/2022,0.657,0.349,0.255
4/12/2022,0.416,0.332,0.152
4/13/2022,0.624,0.423,0.445
4/14/2022,0.061,0.04,0.04
4/15/2022,0.224,0.159,0.195
4/16/2022,0.21,0.221,0.307
4/17/2022,0.031,0.043,0.015
4/18/2022,0.21,0.12,0.264
4/19/2022,0.165,0.133,0.125
4/20/2022,0.282,0.384,0.263
4/21/2022,0.111,0.07,0.149
4/22/2022,0.009,0.022,0.065
4/23/2022,0,0,0
4/24/2022,0.009,0,0
4/25/2022,0,0,0
4/26/2022,0,0,0
4/27/2022,0.006,0.002,0.014
4/28/2022,0.133,0.038,0.083
4/29/2022,0.097,0.036,0.033
4/30/2022,0.199,0.095,0.132
5/1/2022,0.019,0.008,0.005
5/2/2022,0.246,0.078,0.126
5/3/2022,0.033,0.023,0
5/4/2022,0.035,0.022,0.005
5/5/2022,0.456,0.401,0.326
5/6/2022,0.247,0.216,0.201
5/7/2022,0.273,0.165,0.098
5/8/2022,0.267,0.127,0.114
5/9/2022,0.142,0.114,0.102
5/10/2022,0.165,0.191,0.187
5/11/2022,0.031,0.04,0.003
5/12/2022,0.139,0.117,0.029
5/13/2022,0.081,0.082,0.006
5/14/2022,0.029,0.026,0
5/15/2022,0,0,0
5/16/2022,0,0,0
5/17/2022,0.011,0,0
5/18/2022,0,0.008,0.009
5/19/2022,0,0.001,0
5/20/2022,0,0,0
5/21/2022,0.011,0,0
5/22/2022,0,0,0
5/23/2022,0,0,0
5/24/2022,0,0,0
5/25/2022,0,0,0
5/26/2022,0,0,0
5/27/2022,0.056,0.038,0.045
5/28/2022,0.332,0.299,0.229
5/29/2022,0.173,0.045,0.001
5/30/2022,0.021,0.002,0.004
5/31/2022,0,0,0
6/1/2022,0,0,0
6/2/2022,0.009,0.008,0.017
6/3/2022,0.153,0.256,0.207
6/4/2022,0.62,0.568,0.37
6/5/2022,0.092,0.14,0.097
6/6/2022,0,0,0
6/7/2022,0.061,0.021,0.037
6/8/2022,0,0,0.021
6/9/2022,0,0.001,0
6/10/2022,0.023,0.014,0
6/11/2022,0.112,0.076,0.039
6/12/2022,0.329,0.189,0.313
6/13/2022,0.018,0.022,0
6/14/2022,0,0,0.002
6/15/2022,0,0.001,0
6/16/2022,0.012,0.001,0
6/17/2022,0.073,0.145,0.016
6/18/2022,0.005,0.026,0.074
6/19/2022,0,0,0.005
6/20/2022,0,0,0
6/21/2022,0,0,0
6/22/2022,0,0,0
6/23/2022,0,0,0
6/24/2022,0,0,0
6/25/2022,0,0,0
6/26/2022,0,0,0
6/27/2022,0,0,0
6/28/2022,0.008,0,0
6/29/2022,0,0,0
6/30/2022,0,0,0
7/1/2022,0,0,0
7/2/2022,0.105,0.089,0.018
7/3/2022,0.023,0.032,0.021
7/4/2022,0.129,0.078,0.039
7/5/2022,0.011,0.035,0
7/6/2022,0,0,0
7/7/2022,0,0,0
7/8/2022,0,0,0
7/9/2022,0,0,0
7/10/2022,0,0,0
7/11/2022,0,0,0
7/12/2022,0,0,0
7/13/2022,0.001,0,0
7/14/2022,0,0.001,0
7/15/2022,0,0,0
7/16/2022,0,0,0
7/17/2022,0,0,0
7/18/2022,0,0,0
7/19/2022,0,0,0
7/20/2022,0,0,0
7/21/2022,0,0,0
7/22/2022,0,0,0
7/23/2022,0,0,0
7/24/2022,0,0,0
7/25/2022,0,0,0
7/26/2022,0,0,0
7/27/2022,0,0,0
7/28/2022,0.008,0,0
7/29/2022,0,0,0
7/30/2022,0,0,0
7/31/2022,0.028,0.013,0.002
8/1/2022,0.165,0.187,0.183
8/2/2022,0.134,0.15,0.113
8/3/2022,0.002,0,0
8/4/2022,0,0,0
8/5/2022,0,0,0.009
8/6/2022,0,0,0.009
8/7/2022,0,0.034,0.006
8/8/2022,0.009,0.01,0.008
8/9/2022,0,0.011,0.034
8/10/2022,0.012,0.003,0
8/11/2022,0,0,0
8/12/2022,0,0,0
8/13/2022,0,0,0
8/14/2022,0,0,0
8/15/2022,0,0,0
8/16/2022,0,0,0
8/17/2022,0.014,0.031,0.013
8/18/2022,0,0.006,0.002
8/19/2022,0,0,0
8/20/2022,0,0,0
8/21/2022,0,0,0
8/22/2022,0,0,0
8/23/2022,0.025,0,0
8/24/2022,0,0,0
8/25/2022,0,0,0
8/26/2022,0,0.006,0.009
8/27/2022,0,0,0
8/28/2022,0,0,0
8/29/2022,0,0,0
8/30/2022,0,0,0
8/31/2022,0,0,0
9/1/2022,0,0,0
9/2/2022,0,0,0
9/3/2022,0,0.001,0
9/4/2022,0,0,0
9/5/2022,0,0,0
9/6/2022,0,0,0
9/7/2022,0,0,0
9/8/2022,0,0.005,0.007
9/9/2022,0,0,0
9/10/2022,0,0,0
9/11/2022,0.006,0,0.001
9/12/2022,0.016,0.014,0
9/13/2022,0.006,0,0.006
9/14/2022,0,0,0
9/15/2022,0,0,0
9/16/2022,0,0,0
9/17/2022,0.145,0.103,0.022
9/18/2022,0.026,0.001,0
9/19/2022,0.415,0.198,0.274
9/20/2022,0.228,0.17,0.208
9/21/2022,0.096,0.11,0.075
9/22/2022,0,0,0
9/23/2022,0.026,0,0.005
9/24/2022,0,0,0
9/25/2022,0,0,0
9/26/2022,0,0,0
9/27/2022,0,0,0
9/28/2022,0.007,0.007,0
9/29/2022,0,0,0
9/30/2022,0.022,0.03,0.009
10/1/2022,0,0,0
10/2/2022,0,0,0
10/3/2022,0,0,0
10/4/2022,0,0,0
10/5/2022,0,0,0
10/6/2022,0.002,0,0
10/7/2022,0,0,0
10/8/2022,0,0,0
10/9/2022,0,0,0
10/10/2022,0.002,0,0
10/11/2022,0,0,0
10/12/2022,0,0,0
10/13/2022,0,0,0
10/14/2022,0.002,0,0
10/15/2022,0,0,0
10/16/2022,0,0,0
10/17/2022,0.003,0,0
10/18/2022,0,0,0
10/19/2022,0,0,0
10/20/2022,0.011,0,0
10/21/2022,0.333,0.134,0.091
10/22/2022,0.3,0.112,0.099
10/23/2022,0.088,0.007,0.001
10/24/2022,0.261,0.144,0.092
10/25/2022,0.114,0.044,0.002
10/26/2022,0.069,0.012,0.001
10/27/2022,0,0.007,0
10/28/2022,0,0.004,0.001
10/29/2022,0.011,0,0
10/30/2022,0.011,0.002,0.01
10/31/2022,0.024,0.051,0.008
11/1/2022,0.349,0.311,0.289
11/2/2022,0.141,0.068,0.067
11/3/2022,0.091,0.061,0.07
11/4/2022,0.553,0.394,0.169
11/5/2022,0.712,0.337,0.242
11/6/2022,0.555,0.409,0.418
11/7/2022,0.296,0.291,0.204
11/8/2022,0.471,0.342,0.353
11/9/2022,0.027,0.014,0.054
11/10/2022,0,0.015,0.001
11/11/2022,0.132,0.083,0.104
11/12/2022,0.015,0,0.017
11/13/2022,0,0.008,0
11/14/2022,0,0,0
11/15/2022,0,0,0.005
11/16/2022,0,0,0
11/17/2022,0,0,0
11/18/2022,0,0,0
11/19/2022,0.011,0.013,0.003
11/20/2022,0.022,0.023,0.022
11/21/2022,0.01,0,0
11/22/2022,0.08,0.029,0.001
11/23/2022,0,0,0
11/24/2022,0.011,0.004,0.008
11/25/2022,0.005,0,0.004
11/26/2022,0,0,0.006
11/27/2022,0.102,0.076,0.07
11/28/2022,0.193,0.121,0.034
11/29/2022,0.07,0.062,0.026
11/30/2022,0.606,0.405,0.302
12/1/2022,0.297,0.287,0.382
12/2/2022,0.009,0.008,0.017
12/3/2022,0.139,0.133,0.168
12/4/2022,0.223,0.234,0.205
12/5/2022,0.088,0.126,0.154
12/6/2022,0.005,0.002,0
12/7/2022,0.002,0.013,0.023
12/8/2022,0.351,0.231,0.236
12/9/2022,0.337,0.363,0.207
12/10/2022,0.494,0.59,0.555
12/11/2022,0.052,0.039,0.074
12/12/2022,0.003,0.001,0
12/13/2022,0.002,0,0
12/14/2022,0,0,0
12/15/2022,0,0,0
12/16/2022,0,0,0
12/17/2022,0,0,0.005
12/18/2022,0,0,0.008
12/19/2022,0.038,0.083,0.058
12/20/2022,0.336,0.177,0.106
12/21/2022,0.142,0.005,0.006
12/22/2022,0.229,0.139,0.137
12/23/2022,0.129,0.158,0.04
12/24/2022,0.216,0.157,0.049
12/25/2022,0.026,0.006,0
12/26/2022,1.31,0.677,0.453
12/27/2022,0.801,0.823,0.611
12/28/2022,0.281,0.07,0.054
12/29/2022,1.004,0.886,0.646
12/30/2022,1.576,1.094,1.02
12/31/2022,0.074,0.006,0.045
1/1/2023,0,0,0
1/2/2023,0.121,0.06,0.102
1/3/2023,0.079,0.11,0.054
1/4/2023,0.442,0.254,0.215
1/5/2023,0.316,0.142,0.154
1/6/2023,0.007,0.019,0.006
1/7/2023,0.18,0.136,0.057
1/8/2023,0.189,0.126,0.138
1/9/2023,0.347,0.33,0.258
1/10/2023,0.142,0.109,0.092
1/11/2023,0.591,0.519,0.356
1/12/2023,0.049,0.116,0.033
1/13/2023,0.098,0.071,0.1
1/14/2023,0.161,0.043,0.081
1/15/2023,0.048,0.019,0.085
1/16/2023,0,0,0
1/17/2023,0,0.017,0
1/18/2023,0.321,0.118,0.135
1/19/2023,0.002,0,0
1/20/2023,0,0,0
1/21/2023,0.116,0.028,0.023
1/22/2023,0.002,0,0
1/23/2023,0.041,0.016,0.026
1/24/2023,0,0,0
1/25/2023,0,0,0.001
1/26/2023,0.003,0,0
1/27/2023,0.001,0,0
1/28/2023,0,0.001,0
1/29/2023,0,0,0
1/30/2023,0.003,0,0
1/31/2023,0.044,0.021,0.026
2/1/2023,0.011,0.019,0.006
2/2/2023,0,0,0.009
2/3/2023,0,0.018,0
2/4/2023,0.181,0.141,0.087
2/5/2023,0.244,0.116,0.065
2/6/2023,0.012,0,0
2/7/2023,0.052,0.02,0.001
2/8/2023,0.002,0,0
2/9/2023,0,0.002,0.006
2/10/2023,0.059,0.002,0.001
2/11/2023,0,0,0
2/12/2023,0,0,0.006
2/13/2023,0.211,0.194,0.014
2/14/2023,0.203,0.076,0.047
2/15/2023,0.034,0.007,0.012
2/16/2023,0.011,0.016,0.032
