"date","water_year","day_of_water_year","ukl_huc8_mean_swe","williamson_huc8_mean_swe","sprague_huc8_mean_swe","weighted_average_swe","normalized_average_swe","day_after_oct_15","oct_16_nov_30_linear_weight","day_after_may_15_desc","may_16_jun_30_linear_weight","normalized_weighted_avg_swe"
2024-09-14,2024,350,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-15,2024,351,0.18,0,0,0.02487903372,1,NA,NA,NA,NA,1
2024-09-16,2024,352,0.16,0,0,0.02211469664,1,NA,NA,NA,NA,1
2024-09-17,2024,353,0.14,0,0,0.01935035956,1,NA,NA,NA,NA,1
2024-09-18,2024,354,0.16,0,0,0.02211469664,1,NA,NA,NA,NA,1
2024-09-19,2024,355,0.16,0.025,0,0.030489495965,1,NA,NA,NA,NA,1
2024-09-20,2024,356,0.16,0,0,0.02211469664,1,NA,NA,NA,NA,1
2024-09-21,2024,357,0.18,0,0,0.02487903372,0.414650562,NA,NA,NA,NA,0.414650562
2024-09-22,2024,358,0.16,0,0,0.02211469664,0.387977134035088,NA,NA,NA,NA,0.387977134035088
2024-09-23,2024,359,0.18,0,0,0.02487903372,0.65471141368421,NA,NA,NA,NA,0.65471141368421
2024-09-24,2024,360,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-25,2024,361,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-26,2024,362,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-27,2024,363,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-28,2024,364,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-29,2024,365,0,0,0,0,0,NA,NA,NA,NA,0
2024-09-30,2024,366,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-01,2025,1,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-02,2025,2,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-03,2025,3,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-04,2025,4,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-05,2025,5,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-06,2025,6,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-07,2025,7,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-08,2025,8,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-09,2025,9,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-10,2025,10,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-11,2025,11,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-12,2025,12,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-13,2025,13,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-14,2025,14,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-15,2025,15,0,0,0,0,0,NA,NA,NA,NA,0
2024-10-16,2025,16,0,0,0,0,0,1,0.0217391304347826,NA,NA,0
2024-10-17,2025,17,0,0,0,0,0,2,0.0434782608695652,NA,NA,0
2024-10-18,2025,18,0,0,0,0,0,3,0.0652173913043478,NA,NA,0
2024-10-19,2025,19,0,0,0,0,0,4,0.0869565217391304,NA,NA,0
2024-10-20,2025,20,0,0.025,0.02,0.018910622805,0.105645937458101,5,0.108695652173913,NA,NA,0.0114832540715327
2024-10-21,2025,21,0,0,0,0,0,6,0.130434782608696,NA,NA,0
2024-10-22,2025,22,0,0,0,0,0,7,0.152173913043478,NA,NA,0
2024-10-23,2025,23,0,0,0,0,0,8,0.173913043478261,NA,NA,0
2024-10-24,2025,24,0,0,0,0,0,9,0.195652173913043,NA,NA,0
2024-10-25,2025,25,0.02,0,0.08,0.044907631,0.0880541784313725,10,0.217391304347826,NA,NA,0.0191422127024723
2024-10-26,2025,26,0.04,0,0.08,0.04767196808,0.0747209531034483,11,0.239130434782609,NA,NA,0.0178680540029985
2024-10-27,2025,27,0.04,0,0.02,0.01606449764,0.0244141301519757,12,0.260869565217391,NA,NA,0.0063689035179067
2024-10-28,2025,28,0.02,0,0,0.00276433708,0.00420751458143075,13,0.282608695652174,NA,NA,0.00118908020779565
2024-10-29,2025,29,0,0,0.04,0.02107164696,0.0261434825806452,14,0.304347826086957,NA,NA,0.00795671208976157
2024-10-30,2025,30,0.1,0,0.06,0.04542915584,0.0578715361019108,15,0.326086956521739,NA,NA,0.01887115307671
2024-10-31,2025,31,0.04,0,0.04,0.02660032112,0.0358494893800539,16,0.347826086956522,NA,NA,0.0124693876104535
2024-11-01,2025,32,0.42,0.125,0.16,0.184211663145,0.235866406075544,17,0.369565217391304,NA,NA,0.0871680196366141
2024-11-02,2025,33,0.7,0.3,0.22,0.31314344798,0.436132935905293,18,0.391304347826087,NA,NA,0.170660714049897
2024-11-03,2025,34,1.42,1.225,0.62,0.933243627485,1,19,0.41304347826087,NA,NA,0.41304347826087
2024-11-04,2025,35,2.16,1.325,0.56,1.037415826305,1,20,0.434782608695652,NA,NA,0.434782608695652
2024-11-05,2025,36,2.28,1.25,0.5,0.99726998037,0.729531807147037,21,0.456521739130435,NA,NA,0.333047129349734
2024-11-06,2025,37,2.24,1.225,0.5,0.983366506885,0.560642250219498,22,0.478260869565217,NA,NA,0.268133250104977
2024-11-07,2025,38,2.14,1.2,0.46,0.9400983752,0.428486041567913,23,0.5,NA,NA,0.214243020783956
2024-11-08,2025,39,2.14,1.15,0.46,0.92334877655,0.365248724901108,24,0.521739130434783,NA,NA,0.190564552122317
2024-11-09,2025,40,2.14,1.075,0.46,0.898224378575,0.264806715381781,25,0.543478260869565,NA,NA,0.143916693142272
2024-11-10,2025,41,2.12,0.975,0.42,0.840889197235,0.247684594178203,26,0.565217391304348,NA,NA,0.13999564018768
2024-11-11,2025,42,2.08,0.875,0.36,0.770253855335,0.228155762836197,27,0.58695652173913,NA,NA,0.133917512969072
2024-11-12,2025,43,1.96,0.675,0.32,0.665597791295,0.203983386851057,28,0.608695652173913,NA,NA,0.124163800691948
2024-11-13,2025,44,2.44,0.65,0.44,0.78678202277,0.274810346758645,29,0.630434782608696,NA,NA,0.173250001217406
2024-11-14,2025,45,2.46,0.7,0.42,0.79576013502,0.277558470533659,30,0.652173913043478,NA,NA,0.181016393826299
2024-11-15,2025,46,3.38,1.575,0.86,1.447825733635,0.504996767922916,31,0.673913043478261,NA,NA,0.340323908817617
2024-11-16,2025,47,3.52,1.85,0.98,1.62251382665,0.563764359503127,32,0.695652173913043,NA,NA,0.392183902263045
2024-11-17,2025,48,3.54,1.725,0.92,1.551796696665,0.478654132222394,33,0.717391304347826,NA,NA,0.3433823122465
2024-11-18,2025,49,3.76,1.875,1,1.674596494415,0.423626737772578,34,0.739130434782609,NA,NA,0.313115414875384
2024-11-19,2025,50,4.14,2,1.2,1.87435113036,0.437115468833955,35,0.760869565217391,NA,NA,0.332587856721488
2024-11-20,2025,51,4.86,2,1.18,1.96333144176,0.45394946630289,36,0.782608695652174,NA,NA,0.355264799715305
2024-11-21,2025,52,5.14,2.15,1.32,2.12603172119,0.475941732972912,37,0.804347826086957,NA,NA,0.382822698260821
2024-11-22,2025,53,6.32,3.675,2.4,3.368924835655,0.739640148691681,38,0.826086956521739,NA,NA,0.611007079353998
2024-11-23,2025,54,6.86,4.225,2.94,3.912274755925,0.8604129418337,39,0.847826086956522,NA,NA,0.729480537641616
2024-11-24,2025,55,6.82,3.825,2.4,3.488282058605,0.757095323577972,40,0.869565217391304,NA,NA,0.658343759633019
2024-11-25,2025,56,7.02,3.975,2.5,3.618853342755,0.747475757014755,41,0.891304347826087,NA,NA,0.666228392121847
2024-11-26,2025,57,7.04,4,2.5,3.62999247916,0.703637376758124,42,0.91304347826087,NA,NA,0.642451517909592
2024-11-27,2025,58,7.34,4.375,2.84,3.976188524395,0.712926063424494,43,0.934782608695652,NA,NA,0.66643088537507
2024-11-28,2025,59,7.56,4.3,2.94,4.0341509517,0.719091747706086,44,0.956521739130435,NA,NA,0.68782688911017
2024-11-29,2025,60,7.54,4.3,2.94,4.03138661462,0.676055016135744,45,0.978260869565217,NA,NA,0.66135816795888
2024-11-30,2025,61,7.56,4.25,2.96,4.02793717653,0.665711910769872,46,1,NA,NA,0.665711910769872
2024-12-01,2025,62,7.58,4.25,3,4.05177316057,0.647220590402631,NA,NA,NA,NA,0.647220590402631
2024-12-02,2025,63,7.56,4.35,2.98,4.07197219731,0.667649259182297,NA,NA,NA,NA,0.667649259182297
2024-12-03,2025,64,7.56,4.4,3,4.09925761944,0.674568445084913,NA,NA,NA,NA,0.674568445084913
2024-12-04,2025,65,7.58,4.425,3,4.110396755845,0.634712284719735,NA,NA,NA,NA,0.634712284719735
2024-12-05,2025,66,7.54,4.4,3,4.09649328236,0.616941759391566,NA,NA,NA,NA,0.616941759391566
2024-12-06,2025,67,7.48,4.325,3,4.063075873145,0.604624385884673,NA,NA,NA,NA,0.604624385884673
2024-12-07,2025,68,7.4,4.3,2.96,4.02257207854,0.571306927785826,NA,NA,NA,NA,0.571306927785826
2024-12-08,2025,69,7.36,4.325,2.96,4.025418203705,0.569446626638138,NA,NA,NA,NA,0.569446626638138
2024-12-09,2025,70,7.42,4.35,2.92,4.02101436731,0.550446867530459,NA,NA,NA,NA,0.550446867530459
2024-12-10,2025,71,7.32,4.475,2.98,4.080674148975,0.545934872516756,NA,NA,NA,NA,0.545934872516756
2024-12-11,2025,72,7.36,4.35,2.94,4.02325717955,0.53603669795137,NA,NA,NA,NA,0.53603669795137
2024-12-12,2025,73,7.26,4.125,2.82,3.870847359345,0.506843404632757,NA,NA,NA,NA,0.506843404632757
2024-12-13,2025,74,7.36,4.275,2.88,3.966525311135,0.509652539663683,NA,NA,NA,NA,0.509652539663683
2024-12-14,2025,75,7.46,4.475,3.02,4.121096155495,0.52057367703001,NA,NA,NA,NA,0.52057367703001
2024-12-15,2025,76,8.08,5.15,3.4,4.63309083287,0.600395768917488,NA,NA,NA,NA,0.600395768917488
