date,name,ppt,tmean,tmax
2020-10-11,SPR145,0.2273228412538063,NA,NA
2020-10-11,SPR160,0.3390551364327979,NA,NA
2020-10-11,SPR185,0.16909449119267503,NA,NA
2020-10-11,SPR216,0.25677164708535505,NA,NA
2020-10-11,SPR245,0.2347637724688673,NA,NA
2020-10-12,UKL8,0.26137795035294664,NA,NA
2020-10-12,UKL19,0.48948817365751496,NA,NA
2020-10-12,UKL30,0,NA,NA
2020-10-12,UKL41,0.04968503798086812,NA,NA
2020-10-12,UKL52,0,NA,NA
2020-10-12,UKL63,0,NA,NA
2020-10-12,UKL76,0,NA,NA
2020-10-12,UKL85,0,NA,NA
2020-10-12,UKL96,0,NA,NA
2020-10-12,UKL107,0,NA,NA
2020-10-12,WIL18,0,NA,NA
2020-10-12,WIL40,0.035590550561589523,NA,NA
2020-10-12,WIL62,0.01145669325130192,NA,NA
2020-10-12,WIL84,0.03358267658338772,NA,NA
2020-10-12,WIL106,0.00842519691140633,NA,NA
2020-10-12,WIL128,0,NA,NA
2020-10-12,WIL150,0.00448818897872459,NA,NA
2020-10-12,WIL172,0,NA,NA
2020-10-12,WIL194,0,NA,NA
2020-10-12,WIL216,0,NA,NA
2020-10-12,SPR16,0.023307086914543092,NA,NA
2020-10-12,SPR42,0.0020472441367277,NA,NA
2020-10-12,SPR66,0,NA,NA
2020-10-12,SPR91,0,NA,NA
2020-10-12,SPR113,0,NA,NA
2020-10-12,SPR145,0,NA,NA
2020-10-12,SPR160,0,NA,NA
2020-10-12,SPR185,0,NA,NA
2020-10-12,SPR216,0,NA,NA
2020-10-12,SPR245,0,NA,NA
2020-10-13,UKL8,0.10661417105066497,NA,NA
2020-10-13,UKL19,0.17755906412920616,NA,NA
2020-10-13,UKL30,0,NA,NA
2020-10-13,UKL41,0.04362204882103627,NA,NA
2020-10-13,UKL52,0,NA,NA
2020-10-13,UKL63,0.00433070863795092,NA,NA
2020-10-13,UKL76,0.00216535431897546,NA,NA
2020-10-13,UKL85,0.06224409332425576,NA,NA
2020-10-13,UKL96,6.692913749555904e-4,NA,NA
2020-10-13,UKL107,0,NA,NA
2020-10-13,WIL18,0,NA,NA
2020-10-13,WIL40,9.842519831704344e-4,NA,NA
2020-10-13,WIL62,0,NA,NA
2020-10-13,WIL84,2.362204744942545e-4,NA,NA
2020-10-13,WIL106,0,NA,NA
2020-10-13,WIL128,0,NA,NA
2020-10-13,WIL150,0,NA,NA
2020-10-13,WIL172,0,NA,NA
2020-10-13,WIL194,0,NA,NA
2020-10-13,WIL216,0,NA,NA
2020-10-13,SPR16,0,NA,NA
2020-10-13,SPR42,0,NA,NA
2020-10-13,SPR66,0,NA,NA
2020-10-13,SPR91,0,NA,NA
2020-10-13,SPR113,0,NA,NA
2020-10-13,SPR145,0,NA,NA
2020-10-13,SPR160,0,NA,NA
2020-10-13,SPR185,0,NA,NA
2020-10-13,SPR216,0,NA,NA
