date,month,day,year,day_of_water_year,leap_year_index,period,normalized_30_d_trailing_sum_UKLNI,weight_for_30_d_trailing_sum_UKLNI,normalized_30_trailing_sum_precipitation,weight_for_30_d_trailing_sum_precip,normalized_trailing_sum_31_1095_d_precip_in,weight_for_tot_31_1095_d_trailing_sum_precip,normalized_average_swe,weight_for_normalized_weighted_avg_swe,normalized_3mta_normalized_PDO_lag_0,normalized_3mta_normalized_PDO_CN34_lag_0,climate_index_used,climate_index_lag_0,weight_for_climate_index,wetness_index_v20,normalized_wetness_index_v20,trailing_2_week_mean_nwi_v20,ukl_net_inflow_smoothed
2024-09-15,9,15,2024,351,1,24,0.4184790650145242,0.0037158379999999713,0.5034867132287332,0.055926305000000065,0.27273731015946834,0.8596728428,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.45399127799999994,0.2649571146419838,0.048736905123967264,NA,1.0970640843502415
2024-09-16,9,16,2024,352,1,24,0.425703900444276,0.0074316259999998024,0.49985703826544886,0.052197887000000165,0.2804395089443858,0.8596618906,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.4577318830000001,0.27112383514345867,0.05297137717831165,NA,1.4018811938159303
2024-09-17,9,17,2024,353,1,24,0.4373971400120909,0.011147413999999856,0.47562159672617527,0.04846946900000004,0.28863643103311704,0.8596509384000001,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.46147248800000007,0.27684749467635067,0.05669796413842707,NA,1.3739649327170769
2024-09-18,9,18,2024,354,1,24,0.4537636113579297,0.014863201999999909,0.46770791356244734,0.04474105100000014,0.29279348655628984,0.8596399862,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.465213093,0.2801654745451961,0.0550462139686952,NA,1.0457425322776492
2024-09-19,9,19,2024,355,1,24,0.455824887208176,0.018578989999999962,0.4291230606243484,0.04101263300000024,0.2933131858849173,0.859629034,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.468953698,0.2790135445638721,0.05179040057245899,NA,1.3106126857832103
2024-09-20,9,20,2024,356,1,24,0.4620851281650293,0.022294777999999793,0.42304038349615686,0.03728421500000012,0.28378374913535076,0.8596180818,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.4726943029999999,0.27083165667388925,0.03682595752712155,NA,1.3736357947468485
2024-09-21,9,21,2024,357,1,24,0.4688776758991098,0.026010565999999846,0.48729700539667303,0.03355579700000022,0.2827260214791247,0.8596071296000001,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.4764349080000001,0.27239833687915954,0.03127400913493781,NA,1.5468556608059965
2024-09-22,9,22,2024,358,1,24,0.4756681297494059,0.0297263539999999,0.4282784148016368,0.029827379000000098,0.28455335068860554,0.8595961774,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.48017551300000005,0.272339313622015,0.02809795850155707,NA,1.6810135458826645
2024-09-23,9,23,2024,359,1,24,0.49299090062741585,0.03344214199999995,0.22606479039764055,0.026098961000000198,0.28403294592816986,0.8595852252,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.483916118,0.2673677102688175,0.021915600275710264,NA,1.3874029490492
2024-09-24,9,24,2024,360,1,24,0.491185767091194,0.037157930000000006,0.20062157791443008,0.022370543000000076,0.2861018264870461,0.859574273,0,0,0,0.00171612103108558,3 mta PDO_CN34,0.00171612103108558,0.48765672299999996,0.26950210745089886,0.023008289827094953,NA,1.3141640159892127
